Node1	Node2	Pvalue	Cor
Ftrad_Otu_00037	BacV5_Otu_000003	0	-0.641738543451
Ftrad_Otu_00038	BacV5_Otu_000003	0	-0.505686961474
Ftrad_Otu_00039	BacV5_Otu_000003	0.001	-0.489008189973
Ftrad_Otu_00042	BacV5_Otu_000003	0	-0.759878980301
Ftrad_Otu_00045	BacV5_Otu_000003	0	-0.618410711424
Ftrad_Otu_00047	BacV5_Otu_000003	0	-0.462813776771
Ftrad_Otu_00048	BacV5_Otu_000003	0	-0.564024101625
Ftrad_Otu_00054	BacV5_Otu_000003	0.001	-0.510070376741
Ftrad_Otu_00056	BacV5_Otu_000003	0	-0.549759777284
Ftrad_Otu_00057	BacV5_Otu_000003	0	-0.687111534131
Ftrad_Otu_00058	BacV5_Otu_000003	0.001	-0.449527235319
Ftrad_Otu_00060	BacV5_Otu_000003	0	-0.709662108666
Ftrad_Otu_00062	BacV5_Otu_000003	0	0.612907758637
Ftrad_Otu_00071	BacV5_Otu_000003	0	-0.523677944826
Ftrad_Otu_00080	BacV5_Otu_000003	0	-0.553347913123
Ftrad_Otu_00092	BacV5_Otu_000003	0	-0.491867076268
Ftrad_Otu_00095	BacV5_Otu_000003	0.001	-0.41446395693
Ftrad_Otu_00101	BacV5_Otu_000003	0	-0.538531256119
Ftrad_Otu_00109	BacV5_Otu_000003	0	-0.580478157271
Ftrad_Otu_00112	BacV5_Otu_000003	0.001	-0.435347458703
Ftrad_Otu_00114	BacV5_Otu_000003	0	-0.486774145564
Ftrad_Otu_00129	BacV5_Otu_000003	0	-0.510379634708
Ftrad_Otu_00130	BacV5_Otu_000003	0	-0.463701288161
Ftrad_Otu_00158	BacV5_Otu_000003	0.001	-0.491632063799
Ftrad_Otu_00190	BacV5_Otu_000003	0	-0.470232533294
Ftrad_Otu_00215	BacV5_Otu_000003	0	-0.596018181599
Ftrad_Otu_00216	BacV5_Otu_000003	0	-0.497685549386
Ftrad_Otu_00330	BacV5_Otu_000003	0	0.510883169562
BacV5_Otu_000006	BacV5_Otu_000004	0	0.632412303391
BacV5_Otu_000008	BacV5_Otu_000004	0	0.655053793774
BacV5_Otu_000009	BacV5_Otu_000004	0	0.724019506597
BacV5_Otu_000010	BacV5_Otu_000004	0.001	-0.447332873885
BacV5_Otu_000011	BacV5_Otu_000004	0	0.574360068478
BacV5_Otu_000012	BacV5_Otu_000004	0	0.666918204255
BacV5_Otu_000027	BacV5_Otu_000004	0	0.864177266935
BacV5_Otu_000040	BacV5_Otu_000004	0	0.740237071181
BacV5_Otu_000041	BacV5_Otu_000004	0	0.740752088349
BacV5_Otu_000042	BacV5_Otu_000004	0	-0.49622168487
BacV5_Otu_000043	BacV5_Otu_000004	0	0.775476734446
BacV5_Otu_000059	BacV5_Otu_000004	0	0.593773896339
BacV5_Otu_000063	BacV5_Otu_000004	0	0.617099210169
BacV5_Otu_000071	BacV5_Otu_000004	0	0.568684148414
BacV5_Otu_000074	BacV5_Otu_000004	0	0.57956588009
BacV5_Otu_000080	BacV5_Otu_000004	0	0.598376465322
BacV5_Otu_000084	BacV5_Otu_000004	0	0.485095001555
BacV5_Otu_000085	BacV5_Otu_000004	0	-0.452419894863
BacV5_Otu_000088	BacV5_Otu_000004	0.001	0.496002002359
BacV5_Otu_000092	BacV5_Otu_000004	0	0.575625849294
BacV5_Otu_000103	BacV5_Otu_000004	0	0.699297527038
BacV5_Otu_000115	BacV5_Otu_000004	0	0.609212017201
BacV5_Otu_000129	BacV5_Otu_000004	0	-0.519043522405
BacV5_Otu_000136	BacV5_Otu_000004	0	0.572934297167
BacV5_Otu_000143	BacV5_Otu_000004	0	0.540472915959
BacV5_Otu_000203	BacV5_Otu_000004	0	0.400002835103
BacV5_Otu_000209	BacV5_Otu_000004	0	0.451122694116
Ftrad_Otu_00006	BacV5_Otu_000004	0	0.568130745014
Ftrad_Otu_00007	BacV5_Otu_000004	0	-0.618032166108
Ftrad_Otu_00008	BacV5_Otu_000004	0	0.630177292525
Ftrad_Otu_00009	BacV5_Otu_000004	0	-0.642696743705
Ftrad_Otu_00010	BacV5_Otu_000004	0	-0.683721456186
Ftrad_Otu_00027	BacV5_Otu_000004	0	-0.438630821083
Ftrad_Otu_00040	BacV5_Otu_000004	0	-0.499596943917
Ftrad_Otu_00041	BacV5_Otu_000004	0	-0.473034497125
Ftrad_Otu_00049	BacV5_Otu_000004	0	0.467376882191
Ftrad_Otu_00052	BacV5_Otu_000004	0	-0.572036131491
Ftrad_Otu_00055	BacV5_Otu_000004	0	-0.740874571307
Ftrad_Otu_00064	BacV5_Otu_000004	0	0.5104470637
Ftrad_Otu_00066	BacV5_Otu_000004	0	-0.564974677446
Ftrad_Otu_00067	BacV5_Otu_000004	0.001	-0.486275483194
Ftrad_Otu_00086	BacV5_Otu_000004	0	-0.507380960387
Ftrad_Otu_00091	BacV5_Otu_000004	0	0.560946598467
