SUID,AverageShortestPathLength,BetweennessCentrality,Class,ClosenessCentrality,ClusteringCoefficient,Core,Degree,Eccentricity,Family,Genus,IsSingleNode,Kingdom,Locus,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Ocurrence.y1,Ocurrence.y2,Ocurrence.y3,Order,PartnerOfMultiEdgedNodePairs,Phylum,Radiality,Relative.abundance.y1,Relative.abundance.y2,Relative.abundance.y3,selected,SelfLoops,shared name,size,Species,Stress,Taxonomy,TopologicalCoefficient,TotalOcurrence,TotalRelativeabundance
103,2.7787234,0.0047036,c__Gemm-1,0.35987749,0.35714286,no,8,5,c__Gemm-1_unclassified,c__Gemm-1_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000102,18.5,8,0,0.9375,0.9,0.986111111,c__Gemm-1_unclassified,0,p__Gemmatimonadetes,0.74589666,0.001262763,9.89E-04,0.0015079,FALSE,0,BacV5_Otu_000102,3481,c__Gemm-1_unclassified,3144,"""k__Bacteria(100);p__Gemmatimonadetes(100);c__Gemm-1(100);c__Gemm-1_unclassified(100);c__Gemm-1_unclassified(100);c__Gemm-1_unclassified(100);c__Gemm-1_unclassified(100);""",0.21366279,0.941747573,0.001255376
225,1.95319149,0.0154948,c__Betaproteobacteria,0.51198257,0.47761194,no,68,4,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000103,44.55882353,68,0,0.796875,0.885714286,0.972222222,o__Burkholderiales,0,p__Proteobacteria,0.86382979,6.00E-04,0.001174211,0.001788832,FALSE,0,BacV5_Otu_000103,3472,f__Oxalobacteraceae_unclassified,18376,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(98);f__Oxalobacteraceae_unclassified(98);""",0.24216752,0.888349515,0.001210621
226,1.95744681,0.023178,c__Actinobacteria,0.51086957,0.42173038,no,71,4,f__Nocardioidaceae,g__Nocardioides,FALSE,k__Bacteria,BacV5,BacV5_Otu_000092,41.29577465,71,0,0.921875,0.842857143,1,o__Actinomycetales,0,p__Actinobacteria,0.86322188,9.30E-04,8.34E-04,0.002554605,FALSE,0,BacV5_Otu_000092,4323,g__Nocardioides_unclassified,22160,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(63);g__Nocardioides_unclassified(63);""",0.22942097,0.922330097,0.001465287
228,2.2893617,8.49E-04,c__Actinobacteria,0.43680297,0.68783069,no,28,4,f__Intrasporangiaceae,g__Terracoccus,FALSE,k__Bacteria,BacV5,BacV5_Otu_000071,52.67857143,28,0,0.9375,0.914285714,1,o__Actinomycetales,0,p__Actinobacteria,0.81580547,0.001028899,0.002589994,0.002509297,FALSE,0,BacV5_Otu_000071,6022,g__Terracoccus_unclassified,1100,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Intrasporangiaceae(100);g__Terracoccus(99);g__Terracoccus_unclassified(99);""",0.34656955,0.951456311,0.002076789
150,4.34042553,0,c__Alphaproteobacteria,0.23039216,0,no,1,7,f__Sphingomonadaceae,g__Novosphingobium,FALSE,k__Bacteria,BacV5,BacV5_Otu_000151,4,1,0,0.890625,0.771428571,0.819444444,o__Sphingomonadales,0,p__Proteobacteria,0.52279635,0.001171361,4.50E-04,5.70E-04,FALSE,0,BacV5_Otu_000151,2016,g__Novosphingobium_unclassified,0,"""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(84);g__Novosphingobium(74);g__Novosphingobium_unclassified(72);""",0,0.825242718,7.16E-04
229,1.96170213,0.02665923,c__Actinobacteria,0.50976139,0.44315177,no,62,4,f__Intrasporangiaceae,g__Phycicoccus,FALSE,k__Bacteria,BacV5,BacV5_Otu_000063,42.51612903,62,0,0.96875,0.942857143,1,o__Actinomycetales,0,p__Actinobacteria,0.86261398,0.001115028,0.001972076,0.003750861,FALSE,0,BacV5_Otu_000063,7116,g__Phycicoccus_unclassified,24112,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Intrasporangiaceae(100);g__Phycicoccus(100);g__Phycicoccus_unclassified(100);""",0.22735898,0.970873786,0.00232752
230,2.25957447,0.00457855,c__Thermoleophilia,0.44256121,0.57241379,no,30,4,f__Solirubrobacteraceae,f__Solirubrobacteraceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000059,49.73333333,30,0,1,0.914285714,1,o__Solirubrobacterales,0,p__Actinobacteria,0.82006079,0.002010806,0.001176001,0.00420339,FALSE,0,BacV5_Otu_000059,7353,f__Solirubrobacteraceae_unclassified,4284,"""k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Solirubrobacterales(100);f__Solirubrobacteraceae(62);f__Solirubrobacteraceae_unclassified(62);f__Solirubrobacteraceae_unclassified(62);""",0.31677282,0.970873786,0.002493474
231,1.93191489,0.01895659,c__Betaproteobacteria,0.51762115,0.42840376,no,72,4,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000043,42.19444444,72,0,0.9375,0.942857143,1,o__Burkholderiales,0,p__Proteobacteria,0.8668693,0.001922785,0.003028757,0.006537716,FALSE,0,BacV5_Otu_000043,11545,f__Oxalobacteraceae_unclassified,21818,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(85);f__Oxalobacteraceae_unclassified(85);""",0.22685185,0.961165049,0.003911586
232,2.78723404,0.01010271,c__Betaproteobacteria,0.35877863,0.71428571,yes,7,5,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000011,37,7,0,1,1,1,o__Burkholderiales,0,p__Proteobacteria,0.74468085,0.019407747,0.016083747,0.025379846,FALSE,0,BacV5_Otu_000011,60309,f__Oxalobacteraceae_unclassified,8782,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(79);f__Oxalobacteraceae_unclassified(79);""",0.42364532,1,0.020365568
10279,3.18723404,2.64E-05,c__Orbiliomycetes,0.31375167,0,no,2,5,f__Orbiliaceae,g__Dactylaria,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00287,17,2,0,0.421875,0.285714286,0.125,o__Orbiliales,0,p__Ascomycota,0.68753799,2.86E-04,6.50E-05,7.14E-05,FALSE,0,Ftrad_Otu_00287,532,s__Dactylaria_dimorphospora,10,"""k__Fungi(100);p__Ascomycota(100);c__Orbiliomycetes(100);o__Orbiliales(100);f__Orbiliaceae(100);g__Dactylaria(100);s__Dactylaria_dimorphospora(100);""",0.53333333,0.27184466,1.36E-04
151,3.19574468,0,c__Alphaproteobacteria,0.31291611,0,no,1,5,f__Aurantimonadaceae,f__Aurantimonadaceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000060,39,1,0,0.765625,0.557142857,0.430555556,o__Rhizobiales,0,p__Proteobacteria,0.68632219,0.005600034,0.003557978,7.96E-04,FALSE,0,BacV5_Otu_000060,7292,f__Aurantimonadaceae_unclassified,0,"""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Aurantimonadaceae(100);f__Aurantimonadaceae_unclassified(100);f__Aurantimonadaceae_unclassified(100);""",0,0.577669903,0.003227144
233,3.24255319,0.00851064,c__Gammaproteobacteria,0.30839895,0,yes,2,6,f__Pseudomonadaceae,g__Pseudomonas,FALSE,k__Bacteria,BacV5,BacV5_Otu_000008,14,2,0,0.984375,1,1,o__Pseudomonadales,0,p__Proteobacteria,0.67963526,0.009011163,0.026459856,0.041318633,FALSE,0,BacV5_Otu_000008,96102,g__Pseudomonas_unclassified,5092,"""k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Pseudomonadales(100);f__Pseudomonadaceae(100);g__Pseudomonas(100);g__Pseudomonas_unclassified(76);""",0.5,0.995145631,0.026232262
234,3.07234043,0.00884797,p__Ascomycota_unclassified,0.32548476,0.46666667,no,6,5,p__Ascomycota_unclassified,p__Ascomycota_unclassified,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00216,16.16666667,6,0,0.4375,0.314285714,0.388888889,p__Ascomycota_unclassified,0,p__Ascomycota,0.70395137,3.06E-04,9.56E-05,1.48E-04,FALSE,0,Ftrad_Otu_00216,839,p__Ascomycota_unclassified,9152,"""k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);""",0.34042553,0.378640777,1.79E-04
152,3.0212766,4.26E-04,c__Deltaproteobacteria,0.33098592,0.3,no,5,5,f__Polyangiaceae,g__Aetherobacter,FALSE,k__Bacteria,BacV5,BacV5_Otu_000048,12.2,5,0,0.90625,0.928571429,0.902777778,o__Myxococcales,0,p__Proteobacteria,0.7112462,0.006049934,0.002776783,0.004899339,FALSE,0,BacV5_Otu_000048,11027,s__fasciculatus,240,"""k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Myxococcales(100);f__Polyangiaceae(100);g__Aetherobacter(100);s__fasciculatus(100);""",0.27906977,0.912621359,0.004535549
121,2.26808511,0.00247042,c__Betaproteobacteria,0.44090056,0.5908046,no,30,4,f__Alcaligenaceae,g__Achromobacter,FALSE,k__Bacteria,BacV5,BacV5_Otu_000105,47.93333333,30,0,0.65625,0.814285714,0.652777778,o__Burkholderiales,0,p__Proteobacteria,0.81884498,7.02E-04,0.001524819,0.001304942,FALSE,0,BacV5_Otu_000105,3401,g__Achromobacter_unclassified,2884,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Alcaligenaceae(100);g__Achromobacter(52);g__Achromobacter_unclassified(52);""",0.30530786,0.708737864,0.001192376
74,2.71489362,0.00130154,c__Oomycetes(100),0.36833856,0.3,no,5,5,f__Pythiaceae(100),g__Pythium(100),FALSE,k__Stramenopila(100),Otrad,Otrad_Otu_00008,36.8,5,0,0.3125,0.514285714,0.277777778,o__Pythiales(100),0,p__Oomycota(100),0.7550152,0.017573624,0.025519752,0.016401825,FALSE,0,Otrad_Otu_00008,31975,s__Pythium_sp(100),1230,"""k__Stramenopila(100);p__Oomycota(100);c__Oomycetes(100);o__Pythiales(100);f__Pythiaceae(100);g__Pythium(100);s__Pythium_sp(100);""",0.37916667,0.368932039,0.019864204
238,3.17446809,0.00164683,c__Dothideomycetes,0.3150134,0,no,3,5,f__Aureobasidiaceae,g__Aureobasidium,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00130,11.66666667,3,0,0.625,0.514285714,0.75,o__Dothideales,0,p__Ascomycota,0.6893617,4.83E-04,2.33E-04,4.08E-04,FALSE,0,Ftrad_Otu_00130,1954,s__Aureobasidium_melanogenum,490,"""k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Aureobasidiaceae(98);g__Aureobasidium(98);s__Aureobasidium_melanogenum(87);""",0.34408602,0.631067961,3.71E-04
239,4.06808511,0,c__Eurotiomycetes,0.2458159,0,no,1,6,f__Trichomeriaceae,g__Knufia,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00129,6,1,0,0.71875,0.642857143,0.597222222,o__Chaetothyriales,0,p__Ascomycota,0.56170213,6.93E-04,7.05E-04,3.43E-04,FALSE,0,Ftrad_Otu_00129,1957,g__Knufia_unclassified,0,"""k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Trichomeriaceae(100);g__Knufia(100);g__Knufia_unclassified(100);""",0,0.650485437,5.75E-04
240,2.60851064,4.17E-04,c__Dothideomycetes,0.38336052,0.64285714,no,8,5,f__Phaeosphaeriaceae,g__Phaeosphaeria,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00114,51.875,8,0,0.671875,0.671428571,0.847222222,o__Pleosporales,0,p__Ascomycota,0.77021277,4.06E-04,4.43E-04,6.32E-04,FALSE,0,Ftrad_Otu_00114,2368,g__Phaeosphaeria_unclassified,578,"""k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Phaeosphaeria(100);g__Phaeosphaeria_unclassified(100);""",0.43855932,0.733009709,4.98E-04
242,2.85531915,3.14E-04,c__Dothideomycetes,0.35022355,0.5,no,4,5,f__Phaeosphaeriaceae,g__Phaeosphaeria,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00109,36,4,0,0.5625,0.6,0.777777778,o__Pleosporales,0,p__Ascomycota,0.73495441,4.59E-04,2.24E-04,5.58E-04,FALSE,0,Ftrad_Otu_00109,2410,s__Phaeosphaeria_culmorum,244,"""k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Phaeosphaeria(100);s__Phaeosphaeria_culmorum(87);""",0.446875,0.650485437,4.14E-04
