ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
Ftrad_Otu_00011	0.000772079	0.000718436	0.00079907	0	0	0	0	0.000823828	0	0	0.000466732	0.001225091	0.000214625	0.00192166	0.013561653	0.000767644	0.000706745	0.060334566	0.010873031	0	0.013161446	0.001237143	0.000776977	0.001591433	2.47236E-05	0.000155	0.007518042	0.000162604	0.001579229	5.83402E-05	0.001344778	0.000677143	0.000567489	0.000123733	0.001317606	8.31796E-05	0.002591392	0.000139216
Ftrad_Otu_00012	0.006899793	0.004292896	0.026375984	0.001884144	0.006839425	0.014723257	0.013032059	0.014594965	0.01981519	0.00300551	0.015143339	0.004879765	0.017668653	0.032012692	0.02671261	0.03769251	0.009791273	0.02238078	0.012064511	0.012383981	0.028028724	0.010235684	0.012719249	0.011599854	0.007828428	0.027292688	0.026008824	0.019129227	0.017301526	0.02712101	0.038269588	0.011033585	0.009038372	0.002959896	0.012961519	0.028570837	0.01886138	0.029123116
Ftrad_Otu_00013	0.001542788	0.002866641	0.004772515	0.009340026	0	0.00388923	0	0.0041036	0	0.00300551	0.016943526	0.002446736	0.001072068	0.002879311	0	0.000767644	0.004923229	0.003120692	0.010873031	0.0026836	0.00222146	0.01939923	0.006177236	0.002689787	0.006271554	0.002350051	0.006205973	0.003704415	0.005359703	0.00467149	0.007569668	0.006004197	0.003147289	0.010003908	0.002202461	0.003741144	0.002095905	0.002291369
Ftrad_Otu_00014	0	0.007131433	0.007925302	0.005628085	0.00114741	0.000650629	0.022663985	0.003285976	0	0	0	0	0.000857866	0	0.000724428	0.007427274	0	0.001042724	0	0.000896377	0.00222146	0.000709726	0.000201946	5.25579E-05	0.000197749	0.007530685	0.000540055	0	2.7514E-05	0.000311057	0.000216813	0.000278952	0.001358371	0.00024743	1.30652E-05	0	0.000865517	9.28153E-05
Ftrad_Otu_00015	0	0	0	0	0	0	0	0.000274783	0	0	0	0	0.000643558	0.000481213	0.00611946	0.000192038	0	0	0.001221645	0	0.00222146	0	0	7.00758E-05	4.94458E-05	0.000898231	0	0	0.000151305	0	0	0.000716943	0.004636347	6.87447E-05	0	0	0	0.000139216
Ftrad_Otu_00017	0	0	0	0	0	0	0.000911426	0.000823828	0	0	0	0	0	0	0.000724428	0	0	0	0.002439863	0.000896377	0	0.001961296	1.00995E-05	0.000980033	0	0	0.000450093	0	0.001126646	0.002472575	9.13031E-05	0.000159423	0.000780106	0	0.000143696	0	0.000249013	0
Ftrad_Otu_00018	0	0	0.001596673	0	0	0.001300284	0.001820944	0.017772744	0	0.00300551	0.002328662	0	0.000429145	0.000481213	0.000362365	0.000383992	0.000706745	0	0	0	0.00111215	0.001434759	0.000434067	0.000210193	0.000358354	0.001021979	0.000791852	0	0.00230512	0.000942208	0.005151322	0.001313492	0.006248611	4.12481E-05	0.001447845	0.001218373	0.001448767	0.002314453
Ftrad_Otu_00019	0.000772079	0.028522776	0.013388197	0	0.010219165	0	0	0.004919688	0.036809317	0.008954843	0.022299743	0.009705309	0.001714041	0	0.003969483	0.001342488	0.000706745	0	0.001221645	0	0	0	3.02979E-05	0	0.000247173	0.001037445	0	0	0.000577428	0	0	0.001723972	0.003053319	0.00060458	0	0	0	0.000011603
Ftrad_Otu_00021	0	0	0	0.001884144	0.002291797	0	0	0.00109809	0	0	0	0	0.000429145	0	0.000362365	0	0	0	0.001221645	0	0	0	0	0	0.00014832	4.65058E-05	1.80127E-05	0	2.7514E-05	0.000106951	0.000125537	0.00069041	3.54898E-05	0.000219945	0	0.000221777	0	5.80119E-05
Ftrad_Otu_00022	0	0	0.003187497	0	0	0	0.000455952	0.003558689	0	0	0	0	0	0	0.001086189	0.00057586	0.000706745	0	0	0	0.00111215	0.001055915	2.01988E-05	0.000280235	0.000308944	0.007027597	0.003373317	0	0.000220063	0.001659633	0.000672909	0.000332065	0.000709245	1.37498E-05	9.14483E-05	0.002736549	2.1659E-05	8.12145E-05
