ID	S22	S23	S24	S25	S26	S27	S28	S15	S16	S61	S18	S21	S63	S72	S73	S75	S76	S64	S65	S66	S67	S68	S69	S70	S71	S227	S228	S229	S230	S231	S232	S234	S235	S236	S237	S238	S239	S240	S241	S242
BacV5_Otu_000031	0.011271954	0.00343424	0.000537294	0.012645756	0.001906678	0.001410703	0.000424323	0.002114763	0.000321521	0.001688769	0.000691159	0.00295727	0.00411948	0.001951112	0.009859227	0.001415629	0.002263563	0.005400263	0.001209955	0.013780451	0.005736377	0.004183464	0.027924245	0.00611716	0.003220175	0.001504435	0.000348731	0.002485572	0.000239039	0.000871749	0.000322962	0.000775449	0.003663166	0.000205949	0.000217801	0.000816384	0.000150544	0.001097068	0.002010885	0.000284597
BacV5_Otu_000033	0.000353037	0.000202768	0.000214997	0.001354079	0.000329335	0.000302679	0.000388979	0.000288984	0.000723088	0.000788909	0.000493797	0.000529563	0.001910886	0.000371139	0.001352114	0.00332949	0.00092743	0.00387123	0.005340397	0.002392616	0.001115169	0.002431953	0.001278382	0.001512227	0.000823745	0.002695431	0.001840128	0.000697395	0.002225933	0.000871749	0.001218821	0.003435892	0.001608331	0.001028769	0.00122371	0.002487326	0.00110278	0.001903665	0.002957242	0.001562979
BacV5_Otu_000034	0.001938162	0.000472977	0.001609891	0.004566101	0.000789986	0.001209454	0.001271727	0.004314695	0.001525109	0.002025736	0.005596276	0.001058481	0.001972388	0.001334619	0.00253687	0.005834945	0.002058272	0.002832365	0.004037539	0.003246477	0.004285679	0.002878463	0.003294822	0.003319977	0.002532145	0.002959654	0.001641571	0.000597836	0.001749907	0.000871749	0.003111953	0.002922238	0.00293904	0.002464963	0.004631868	0.003170985	0.003250161	0.002995941	0.00122998	0.002837609
BacV5_Otu_000036	0.001175676	0.000810503	0.003427249	0.004462857	0.000131764	0.067191832	0.002574911	0.035154781	0	0	0.000987033	0.000952749	0.002464089	0.001038391	0.001106588	0.007430885	0.004413287	0.000597824	7.90129E-05	0.002499441	0.004254088	0.004913824	0.001420193	0.001646393	0.000955399	0.000797115	0.000348731	0.000697395	0	0.00027261	0.00078904	0.001893104	0.000546894	0.000205949	0.00032666	0.001802589	0.000100368	0	0.001509036	0
BacV5_Otu_000037	0.000940795	0.000472977	0.000322456	0.001041974	0.000592624	0.000302679	0.000601002	0.003837396	0.003922325	0.00033828	0.001381219	0.000211903	0.000185292	0.004555363	4.10351E-05	0.001112668	0	0.001443336	0.003880933	0.027305222	0.001655792	0	0.004844995	0.000100979	0.002171312	0.000221568	4.98358E-05	0.002782887	0.003887928	0.000545048	0.000215335	0.006590071	0.003150368	0.001490921	8.1688E-05	4.30058E-05	0.00055174	5.78096E-05	0.001620608	0
BacV5_Otu_000039	0	6.75997E-05	0	0.000208595	0.000395172	0	3.53761E-05	9.63493E-05	0	0.002474619	0.000296346	0	0.000617334	0.002591337	0.003392783	0.026995692	0.000103146	0.002188011	0.004454879	0.000214802	0.004348854	0.007444685	0.000959139	0.000100979	0.003580137	0.000797115	0.000199309	0	0.010239554	0.003963212	0.003325751	0	0.002969236	0	0.00122371	0.00235902	0.003299974	0.003741708	0.001787912	7.11667E-05
BacV5_Otu_000040	0.000588236	0.000540503	0.000429888	0.001041974	0.000395172	0.000403526	0.000318281	0.000673997	0.000562506	0.00033828	0.000691159	0.000317815	0.00055564	0.000173238	0.000123094	0.001112668	0.00092743	0.001045653	0.001682499	0.000179009	0.000382666	0.000449016	0.000462072	6.7322E-05	0.000197841	0.002298795	0.003326422	0.001989594	0.003492791	0.001687428	0.004179891	0.003521442	0.007594546	0.003232403	0.006728355	0.010746942	0.005981426	0.006484269	0.00206661	0.001846553
BacV5_Otu_000041	0.000705788	0.000405441	0.000752025	0.001041974	0.000263488	0.000806677	0.000282928	0.001058669	0.000723088	0.000901494	0.000395083	0.000423702	0.00055564	0.00039587	0.000287164	0.002826659	0.000206267	0.0028076	0.002337959	0.000429498	0.001146989	0.001633471	0.000888164	0.000874374	0.000329685	0.004058856	0.003771319	0.002287249	0.004045882	0.002176101	0.004322085	0.004887955	0.005318081	0.004457494	0.003174503	0.011292038	0.005585217	0.00875658	0.002957242	0.002908312
BacV5_Otu_000042	0.011673256	0.006508668	0.001502751	0.00041709	0.00504428	0.041181602	0.011520423	0.000288984	0.000401864	0	0.000197586	0.022710684	0	0.00039587	0	0	0	2.49258E-05	0.00026332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.30058E-05	0	0	0.00011196	0
BacV5_Otu_000043	0.000647016	6.75997E-05	0.000644673	0.001769871	0	0.000605148	0.000282928	0.000577775	0.000562506	0.00033828	0.002070185	0.000105964	0.000802363	0.000544229	0.000901877	0.001314666	0.000721505	0.002931412	0.001472543	0.000822833	0.001274246	0.001857194	0.001349293	0.000403776	0.00069205	0.00375136	0.002336125	0.001658627	0.002542994	0.002013271	0.005599735	0.004461381	0.004024776	0.002874433	0.004038717	0.005470422	0.003349781	0.003684387	0.00122998	0.006218446
