"SUID","0.001_ 2_corsparcc.txt(1)_present","0.001_ 3_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"45503","true","false","0.5000000000000001","16.000000000000004","32","Ftrad_Otu_00189","false","Ftrad_Otu_00189"
"45504","true","true","0.48275862068965525","14.000000000000002","29","Ftrad_Otu_00144","false","Ftrad_Otu_00144"
"45505","true","true","0.5","16.5","33","Ftrad_Otu_00132","false","Ftrad_Otu_00132"
"45506","true","true","0.4240506329113924","33.5","79","Ftrad_Otu_00124","false","Ftrad_Otu_00124"
"45507","true","true","0.4814814814814814","12.999999999999998","27","Ftrad_Otu_00122","false","Ftrad_Otu_00122"
"45508","true","true","0.4722222222222222","17.0","36","Ftrad_Otu_00121","false","Ftrad_Otu_00121"
"45509","true","true","0.4479166666666666","21.499999999999996","48","Ftrad_Otu_00106","false","Ftrad_Otu_00106"
"45510","true","true","0.48529411764705893","33.00000000000001","68","Ftrad_Otu_00099","false","Ftrad_Otu_00099"
"45511","true","true","0.44642857142857145","12.5","28","Ftrad_Otu_00076","false","Ftrad_Otu_00076"
"45512","true","true","0.4362745098039215","44.49999999999999","102","Ftrad_Otu_00062","false","Ftrad_Otu_00062"
"45513","true","true","0.45394736842105265","34.5","76","Ftrad_Otu_00061","false","Ftrad_Otu_00061"
"45514","true","true","0.37499999999999994","1.4999999999999998","4","Ftrad_Otu_00056","false","Ftrad_Otu_00056"
"45515","true","true","0.5","12.5","25","Ftrad_Otu_00042","false","Ftrad_Otu_00042"
"45516","true","true","0.5000000000000001","39.00000000000001","78","Ftrad_Otu_00040","false","Ftrad_Otu_00040"
"45517","true","false","0.5000000000000001","4.000000000000001","8","Ftrad_Otu_00039","false","Ftrad_Otu_00039"
"45518","true","true","0.4535714285714285","63.49999999999999","140","Ftrad_Otu_00031","false","Ftrad_Otu_00031"
"45519","true","true","0.4838709677419355","15.0","31","Ftrad_Otu_00027","false","Ftrad_Otu_00027"
"45520","true","true","0.43382352941176466","29.499999999999996","68","Ftrad_Otu_00015","false","Ftrad_Otu_00015"
"45521","true","true","0.40441176470588236","27.5","68","Ftrad_Otu_00007","false","Ftrad_Otu_00007"
"45522","true","false","0.49999999999999994","21.499999999999996","43","Ftrad_Otu_00003","false","Ftrad_Otu_00003"
"45523","true","false","0.5000000000000001","29.000000000000004","58","BacV5_Otu_000415","false","BacV5_Otu_000415"
"45524","true","true","0.44680851063829785","21.0","47","BacV5_Otu_000201","false","BacV5_Otu_000201"
"45525","true","true","0.4285714285714285","5.999999999999999","14","BacV5_Otu_000190","false","BacV5_Otu_000190"
"45526","true","true","0.5","18.0","36","BacV5_Otu_000175","false","BacV5_Otu_000175"
"45527","true","true","0.47014925373134336","31.500000000000004","67","BacV5_Otu_000161","false","BacV5_Otu_000161"
"45528","true","true","0.4833333333333334","29.000000000000004","60","BacV5_Otu_000159","false","BacV5_Otu_000159"
"45529","true","true","0.4537037037037037","24.5","54","BacV5_Otu_000156","false","BacV5_Otu_000156"
"45530","true","true","0.46078431372549017","23.5","51","BacV5_Otu_000153","false","BacV5_Otu_000153"
"45531","true","true","0.4278846153846153","44.49999999999999","104","BacV5_Otu_000136","false","BacV5_Otu_000136"
"45532","true","true","0.4833333333333333","14.499999999999998","30","BacV5_Otu_000127","false","BacV5_Otu_000127"
"45533","true","true","0.4583333333333333","11.0","24","BacV5_Otu_000101","false","BacV5_Otu_000101"
"45534","true","true","0.38655462184873945","45.99999999999999","119","BacV5_Otu_000092","false","BacV5_Otu_000092"
"45535","true","true","0.455","45.5","100","BacV5_Otu_000084","false","BacV5_Otu_000084"
"45536","true","true","0.41596638655462187","49.5","119","BacV5_Otu_000059","false","BacV5_Otu_000059"
"45537","true","true","0.5000000000000001","4.000000000000001","8","Otrad_Otu_00030","false","Otrad_Otu_00030"
