"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"10700","2.04026846","0.01725737","c--Actinobacteria","0.49013158","0.40613432","no","62","5","f--Intrasporangiaceae","g--Terracoccus","false","k--Bacteria","BacV5","BacV5-Otu-000071","49.38709677","62","0","0.9375","0.914285714","1.0","o--Actinomycetales","0","p--Actinobacteria","0.85139022","0.001028899","0.002589994","0.002509297","false","0","BacV5-Otu-000071","6022","g--Terracoccus-unclassified","39508","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Intrasporangiaceae(100);g--Terracoccus(99);g--Terracoccus-unclassified(99);""","0.21196179","0.951456311","0.002076789"
"10702","1.82550336","0.03095849","c--Tremellomycetes","0.54779412","0.4496337","no","105","5","f--Cystofilobasidiaceae","g--Cystofilobasidium","false","k--Fungi","Ftrad","Ftrad-Otu-00006","60.32380952","105","0","0.703125","0.385714286","0.777777778","o--Cystofilobasidiales","0","p--Basidiomycota","0.88207095","0.039197159","0.009820753","0.039381372","false","0","Ftrad-Otu-00006","188927","s--Cystofilobasidium-macerans","65600","""k--Fungi(100);p--Basidiomycota(100);c--Tremellomycetes(100);o--Cystofilobasidiales(100);f--Cystofilobasidiaceae(100);g--Cystofilobasidium(100);s--Cystofilobasidium-macerans(100);""","0.2403339","0.621359223","0.02927927"
"10703","2.0738255","0.00193317","c--Glomeromycetes","0.48220065","0.66914683","no","64","5","f--Diversisporales-fam-Incertae-sedis","g--Entrophospora","false","k--Fungi","Ftrad","Ftrad-Otu-00125","71.0625","64","0","0.546875","0.771428571","0.361111111","o--Diversisporales","0","p--Glomeromycota","0.84659636","8.27217E-4","0.003920946","1.57886E-4","false","0","Ftrad-Otu-00125","2031","s--Entrophospora-sp","9462","""k--Fungi(100);p--Glomeromycota(100);c--Glomeromycetes(100);o--Diversisporales(100);f--Diversisporales-fam-Incertae-sedis(100);g--Entrophospora(100);s--Entrophospora-sp(100);""","0.32301136","0.558252427","0.001644543"
"10705","2.06040268","0.0034788","c--Microbotryomycetes","0.48534202","0.66496164","no","69","6","f--Ustilentylomataceae","g--Ustilentyloma","false","k--Fungi","Ftrad","Ftrad-Otu-00009","66.52173913","69","0","0.890625","0.928571429","0.902777778","o--Microbotryales","0","p--Basidiomycota","0.8485139","0.033298819","0.035015272","0.015601064","false","0","Ftrad-Otu-00009","134569","s--Ustilentyloma-graminis","10824","""k--Fungi(100);p--Basidiomycota(100);c--Microbotryomycetes(100);o--Microbotryales(100);f--Ustilentylomataceae(100);g--Ustilentyloma(100);s--Ustilentyloma-graminis(100);""","0.29697205","0.90776699","0.027696457"
"10707","2.09395973","0.01545668","c--unclassified-Chytridiomycota","0.4775641","0.37526205","no","54","5","f--unclassified-Chytridiomycota","g--unclassified-Chytridiomycota","false","k--Fungi","Ftrad","Ftrad-Otu-00311","41.59259259","54","0","0.421875","0.042857143","0.111111111","o--unclassified-Chytridiomycota","0","p--Chytridiomycota","0.84372004","4.06676E-4","6.29E-6","3.1E-5","false","0","Ftrad-Otu-00311","455","s--Chytridiomycota-sp","33576","""k--Fungi(100);p--Chytridiomycota(97);c--unclassified-Chytridiomycota(97);o--unclassified-Chytridiomycota(97);f--unclassified-Chytridiomycota(97);g--unclassified-Chytridiomycota(97);s--Chytridiomycota-sp(97);""","0.18162704","0.184466019","1.39312E-4"
"10708","2.10402685","0.00579464","c--Deltaproteobacteria","0.47527911","0.57791754","no","54","5","f--Polyangiaceae","f--Polyangiaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000129","63.18518519","54","0","0.84375","0.728571429","0.833333333","o--Myxococcales","0","p--Proteobacteria","0.84228188","0.001944436","7.28995E-4","4.45932E-4","false","0","BacV5-Otu-000129","2502","f--Polyangiaceae-unclassified","15902","""k--Bacteria(100);p--Proteobacteria(100);c--Deltaproteobacteria(100);o--Myxococcales(100);f--Polyangiaceae(100);f--Polyangiaceae-unclassified(100);f--Polyangiaceae-unclassified(100);""","0.27958047","0.800970874","0.001007673"
"10710","2.1409396","0.03994753","c--Alphaproteobacteria","0.46708464","0.35555556","no","46","5","f--Sphingomonadaceae","g--Kaistobacter","false","k--Bacteria","BacV5","BacV5-Otu-000074","46.80434783","46","0","0.984375","0.885714286","1.0","o--Sphingomonadales","0","p--Proteobacteria","0.83700863","0.001801556","0.001368506","0.002854643","false","0","BacV5-Otu-000074","5946","g--Kaistobacter-unclassified","76578","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Sphingomonadales(100);f--Sphingomonadaceae(100);g--Kaistobacter(100);g--Kaistobacter-unclassified(100);""","0.21558806","0.95631068","0.002022472"
"10711","1.90268456","0.01344698","k--Bacteria-unclassified","0.52557319","0.53641457","no","85","5","k--Bacteria-unclassified","k--Bacteria-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000347","64.49411765","85","0","0.4375","0.585714286","0.097222222","k--Bacteria-unclassified","0","k--Bacteria-unclassified","0.87104506","3.87873E-4","5.79302E-4","2.39E-5","false","0","BacV5-Otu-000347","620","k--Bacteria-unclassified","33806","""k--Bacteria(100);k--Bacteria-unclassified(97);k--Bacteria-unclassified(97);k--Bacteria-unclassified(97);k--Bacteria-unclassified(97);k--Bacteria-unclassified(97);k--Bacteria-unclassified(97);""","0.25694868","0.368932039","3.25705E-4"
"10713","2.01342282","0.00692069","c--Flavobacteriia","0.49666667","0.45865303","no","69","5","f--Flavobacteriaceae","g--Flavobacterium","false","k--Bacteria","BacV5","BacV5-Otu-000782","54.0","69","0","0.09375","0.514285714","0.083333333","o--Flavobacteriales","0","p--Bacteroidetes","0.85522531","5.59E-5","1.97221E-4","1.13E-5","false","0","BacV5-Otu-000782","227","s--succinicans","26014","""k--Bacteria(100);p--Bacteroidetes(100);c--Flavobacteriia(100);o--Flavobacteriales(100);f--Flavobacteriaceae(100);g--Flavobacterium(100);s--succinicans(75);""","0.22978723","0.233009709","8.83E-5"
"10715","2.05033557","0.00297991","c--Oomycetes(100)","0.48772504","0.66459627","no","70","5","f--Peronosporaceae(100)","g--Hyaloperonospora(100)","false","k--Stramenopila(100)","Otrad","Otrad-Otu-00001","66.81428571","70","0","1.0","1.0","1.0","o--Peronosporales(100)","0","p--Oomycota(100)","0.84995206","0.661312855","0.549967746","0.486232506","false","0","Otrad-Otu-00001","2447714","s--Hyaloperonospora-arabidopsidis(100)","11010","""k--Stramenopila(100);p--Oomycota(100);c--Oomycetes(100);o--Peronosporales(100);f--Peronosporaceae(100);g--Hyaloperonospora(100);s--Hyaloperonospora-arabidopsidis(100);""","0.29827806","1.0","0.562284007"
