ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
Ftrad_Otu_00051	5	2	0	1	5	4	10	10	0	6	0	3	10	3	6	13	3	1	0	5	2	64	58	13	35	73	30	43	82	318	336	127	25	38	1262	39	125	84
Ftrad_Otu_00052	0	0	0	0	0	2	3	0	0	0	0	1	14	17	20	28	4	5	17	4	1	0	0	0	0	29	0	0	0	0	0	54	975	0	0	0	0	0
Ftrad_Otu_00056	0	0	0	0	0	0	0	4	0	1	0	0	13	2	0	0	2	0	1	1	0	0	0	13	0	373	0	0	0	0	27	106	47	0	0	0	0	11
Ftrad_Otu_00057	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	6	1	1	0	0	2	57	0	46	0	469	0	165	57	35	17	0	11	0	0	0	52	414
Ftrad_Otu_00058	1	0	9	5	0	0	1	6	0	0	0	0	1	0	0	12	0	0	0	0	0	90	0	4	14	11	0	0	70	0	116	0	27	1	0	43	16	376
Ftrad_Otu_00060	0	0	0	0	0	2	5	3	0	0	0	0	5	0	0	1	0	8	0	0	0	7	0	6	15	8	0	18	30	56	10	11	96	0	0	10	2	11
Ftrad_Otu_00061	0	0	0	1	0	0	0	1	0	0	0	1	51	5	41	40	0	4	4	9	7	0	5	0	13	11	0	15	25	0	1	30	4	1	0	14	0	114
Ftrad_Otu_00062	0	0	0	0	0	0	0	0	0	1	0	19	324	254	234	68	193	6	15	43	90	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
Ftrad_Otu_00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	14	15	31	23	36	92	23	116	104	35	67	187	18	51	67	33
Ftrad_Otu_00067	1	0	3	0	3	0	0	2	157	1	3	0	5	6	6	11	5	2	0	13	2	0	0	0	0	0	0	0	61	0	0	13	0	43	0	0	0	0
Ftrad_Otu_00076	0	0	1	0	0	1	1	2	0	0	0	1	207	77	28	23	13	13	15	16	17	13	0	164	2	1721	20	17	39	199	57	44	0	0	0	0	0	1
Ftrad_Otu_00078	4	1	1	0	4	5	28	130	3	26	5	0	1	5	0	1	1	0	1	0	0	0	0	0	0	0	0	0	10	0	0	242	169	0	0	0	0	0
Ftrad_Otu_00080	0	1	1	0	0	0	2	1	1	0	0	0	0	0	0	2	0	2	3	0	0	24	137	10	8	51	101	11	20	380	201	16	80	166	241	0	30	11
Ftrad_Otu_00087	2	0	0	0	0	0	0	0	0	14	30	0	0	0	3	0	0	0	14	2	0	54	146	65	9	267	139	36	118	174	30	0	57	43	52	8	38	129
Ftrad_Otu_00088	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	50	27	9	97	3	0	0	14	84	93	0	0	89	175	19	94	0
Ftrad_Otu_00089	0	0	0	0	0	1	1	0	0	1	1	0	7	4	1	0	3	0	1	2	1	1	0	17	0	12	0	0	27	13	0	0	12	0	0	0	101	14
Ftrad_Otu_00090	18	7	8	10	71	84	177	134	9	42	81	0	3	2	3	4	2	7	5	2	0	39	4	21	7	54	41	0	47	62	90	32	97	18	0	27	33	47
Ftrad_Otu_00092	0	1	2	0	0	0	1	4	0	0	0	0	3	0	0	2	0	0	0	0	0	1	1	4	40	6	0	0	0	57	193	14	74	0	0	0	0	0
Ftrad_Otu_00095	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	263	51	34	0	21	44	0	220	38	51	0	13	58	0	96	0	279
