BacV5_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
BacV5_Otu_000522	394	k__Bacteria(100);p__Actinobacteria(100);c__Acidimicrobiia(100);o__Acidimicrobiales(100);f__Iamiaceae(100);g__Iamia(100);g__Iamia_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Iamiaceae	g__Iamia	g__Iamia_unclassified
BacV5_Otu_000523	393	k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Gaiellales(100);f__Gaiellaceae(100);f__Gaiellaceae_unclassified(100);f__Gaiellaceae_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	f__Gaiellaceae_unclassified	f__Gaiellaceae_unclassified
BacV5_Otu_000524	392	k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Xanthomonadales(100);f__Sinobacteraceae(99);f__Sinobacteraceae_unclassified(85);f__Sinobacteraceae_unclassified(85);	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	f__Sinobacteraceae_unclassified	f__Sinobacteraceae_unclassified
BacV5_Otu_000525	388	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);f__Microbacteriaceae_unclassified(97);f__Microbacteriaceae_unclassified(97);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	f__Microbacteriaceae_unclassified	f__Microbacteriaceae_unclassified
BacV5_Otu_000526	388	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(67);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__asaccharolytica
BacV5_Otu_000527	388	k__Bacteria(100);p__Actinobacteria(100);c__Acidimicrobiia(100);o__Acidimicrobiales(100);o__Acidimicrobiales_unclassified(100);o__Acidimicrobiales_unclassified(100);o__Acidimicrobiales_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	o__Acidimicrobiales_unclassified	o__Acidimicrobiales_unclassified	o__Acidimicrobiales_unclassified
BacV5_Otu_000528	386	k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Gaiellales(100);f__Gaiellaceae(100);f__Gaiellaceae_unclassified(100);f__Gaiellaceae_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	f__Gaiellaceae_unclassified	f__Gaiellaceae_unclassified
BacV5_Otu_000529	384	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(67);f__Nocardioidaceae_unclassified(67);f__Nocardioidaceae_unclassified(67);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	f__Nocardioidaceae_unclassified	f__Nocardioidaceae_unclassified
BacV5_Otu_000530	382	k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Myxococcales(100);f__Polyangiaceae(100);f__Polyangiaceae_unclassified(100);f__Polyangiaceae_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Polyangiaceae	f__Polyangiaceae_unclassified	f__Polyangiaceae_unclassified
BacV5_Otu_000533	379	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Phyllobacteriaceae(100);g__Mesorhizobium(100);g__Mesorhizobium_unclassified(97);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	g__Mesorhizobium_unclassified
BacV5_Otu_000534	379	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(90);o__Rhodospirillales(87);o__Rhodospirillales_unclassified(87);o__Rhodospirillales_unclassified(87);o__Rhodospirillales_unclassified(87);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	o__Rhodospirillales_unclassified	o__Rhodospirillales_unclassified	o__Rhodospirillales_unclassified
BacV5_Otu_000535	378	k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__SC-I-84(100);o__SC-I-84_unclassified(100);o__SC-I-84_unclassified(100);o__SC-I-84_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	o__SC-I-84_unclassified	o__SC-I-84_unclassified	o__SC-I-84_unclassified
BacV5_Otu_000536	377	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Rhizobiaceae(100);f__Rhizobiaceae_unclassified(82);f__Rhizobiaceae_unclassified(82);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	f__Rhizobiaceae_unclassified	f__Rhizobiaceae_unclassified
BacV5_Otu_000537	375	k__Bacteria(100);p__Proteobacteria(92);c__Alphaproteobacteria(91);c__Alphaproteobacteria_unclassified(91);c__Alphaproteobacteria_unclassified(91);c__Alphaproteobacteria_unclassified(91);c__Alphaproteobacteria_unclassified(91);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	c__Alphaproteobacteria_unclassified	c__Alphaproteobacteria_unclassified	c__Alphaproteobacteria_unclassified	c__Alphaproteobacteria_unclassified
BacV5_Otu_000538	374	k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Bacillales(100);f__Alicyclobacillaceae(100);g__Alicyclobacillus(100);g__Alicyclobacillus_unclassified(100);	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	g__Alicyclobacillus_unclassified
BacV5_Otu_000539	370	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Hyphomicrobiaceae(99);g__Rhodoplanes(99);g__Rhodoplanes_unclassified(99);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	g__Rhodoplanes_unclassified
BacV5_Otu_000540	370	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Kaistobacter(100);g__Kaistobacter_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Kaistobacter	g__Kaistobacter_unclassified
BacV5_Otu_000541	367	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rickettsiales(100);f__Rickettsiaceae(100);g__Rickettsia(98);s__Rickettsia_endosymbiont_of_Deronectes_platynBacV5_Otu_s(86);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiaceae	g__Rickettsia	s__Rickettsia_endosymbiont_of_Deronectes_platynBacV5_Otu_s
BacV5_Otu_000542	365	k__Bacteria(100);p__Actinobacteria(97);c__Actinobacteria(97);o__Actinomycetales(97);f__Microbacteriaceae(90);g__Frondihabitans(57);s__cladoniiphilus(56);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Frondihabitans	s__cladoniiphilus
BacV5_Otu_000543	364	k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);f__Comamonadaceae_unclassified(72);f__Comamonadaceae_unclassified(72);	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	f__Comamonadaceae_unclassified	f__Comamonadaceae_unclassified
BacV5_Otu_000545	362	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);o__Rhizobiales_unclassified(96);o__Rhizobiales_unclassified(96);o__Rhizobiales_unclassified(96);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified
BacV5_Otu_000546	361	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(98);g__Methylobacterium(98);s__adhaesivum(95);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__adhaesivum
BacV5_Otu_000547	359	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Hyphomicrobiaceae(100);g__Devosia(100);g__Devosia_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	g__Devosia_unclassified
BacV5_Otu_000548	359	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);o__Rhizobiales_unclassified(100);o__Rhizobiales_unclassified(100);o__Rhizobiales_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified
BacV5_Otu_000549	358	k__Bacteria(100);p__Bacteroidetes(100);c__Cytophagia(100);o__Cytophagales(100);f__Cytophagaceae(100);g__Adhaeribacter(100);g__Adhaeribacter_unclassified(100);	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Adhaeribacter	g__Adhaeribacter_unclassified
BacV5_Otu_000550	358	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Frigoribacterium(94);g__Frigoribacterium_unclassified(94);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Frigoribacterium	g__Frigoribacterium_unclassified
BacV5_Otu_000551	357	k__Bacteria(100);p__Chloroflexi(100);c__TK10(100);o__B07_WMSP1(100);o__B07_WMSP1_unclassified(100);o__B07_WMSP1_unclassified(100);o__B07_WMSP1_unclassified(100);	k__Bacteria	p__Chloroflexi	c__TK10	o__B07_WMSP1	o__B07_WMSP1_unclassified	o__B07_WMSP1_unclassified	o__B07_WMSP1_unclassified
BacV5_Otu_000552	354	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Frigoribacterium(97);g__Frigoribacterium_unclassified(97);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Frigoribacterium	g__Frigoribacterium_unclassified
BacV5_Otu_000553	353	k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Bdellovibrionales(100);f__Bacteriovoracaceae(100);f__Bacteriovoracaceae_unclassified(100);f__Bacteriovoracaceae_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	f__Bacteriovoracaceae_unclassified	f__Bacteriovoracaceae_unclassified
BacV5_Otu_000554	353	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Hyphomicrobiaceae(100);g__Devosia(100);g__Devosia_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	g__Devosia_unclassified
BacV5_Otu_000555	352	k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(80);o__Myxococcales(80);o__Myxococcales_unclassified(79);o__Myxococcales_unclassified(79);o__Myxococcales_unclassified(79);	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	o__Myxococcales_unclassified	o__Myxococcales_unclassified	o__Myxococcales_unclassified
BacV5_Otu_000556	352	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Hyphomicrobiaceae(100);g__Hyphomicrobium(100);g__Hyphomicrobium_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	g__Hyphomicrobium_unclassified
BacV5_Otu_000557	352	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Bradyrhizobiaceae(100);g__Bosea(100);s__genosp.(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bosea	s__genosp.
BacV5_Otu_000558	351	k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);g__Massilia(85);g__Massilia_unclassified(83);	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	g__Massilia_unclassified
BacV5_Otu_000559	350	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__echinoides(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__echinoides
BacV5_Otu_000560	348	k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Alcaligenaceae(100);g__Achromobacter(68);g__Achromobacter_unclassified(68);	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Achromobacter	g__Achromobacter_unclassified
BacV5_Otu_000561	348	k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__Flavobacteriaceae(100);f__Flavobacteriaceae_unclassified(100);f__Flavobacteriaceae_unclassified(100);	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	f__Flavobacteriaceae_unclassified	f__Flavobacteriaceae_unclassified
BacV5_Otu_000562	348	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(100);s__plantarum(100);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__plantarum
BacV5_Otu_000563	348	k__Bacteria(100);p__Gemmatimonadetes(99);c__Gemmatimonadetes(99);c__Gemmatimonadetes_unclassified(98);c__Gemmatimonadetes_unclassified(98);c__Gemmatimonadetes_unclassified(98);c__Gemmatimonadetes_unclassified(98);	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	c__Gemmatimonadetes_unclassified	c__Gemmatimonadetes_unclassified	c__Gemmatimonadetes_unclassified	c__Gemmatimonadetes_unclassified
BacV5_Otu_000564	347	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Methylobacterium(100);s__mesophilicum(62);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__mesophilicum
BacV5_Otu_000565	345	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Frigoribacterium(89);g__Frigoribacterium_unclassified(89);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Frigoribacterium	g__Frigoribacterium_unclassified
BacV5_Otu_000566	343	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Phyllobacteriaceae(100);g__Mesorhizobium(99);g__Mesorhizobium_unclassified(98);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	g__Mesorhizobium_unclassified
BacV5_Otu_000567	341	k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);g__Delftia(100);g__Delftia_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	g__Delftia_unclassified
BacV5_Otu_000568	340	k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__[Weeksellaceae](100);g__Chryseobacterium(100);g__Chryseobacterium_unclassified(100);	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Chryseobacterium	g__Chryseobacterium_unclassified
BacV5_Otu_000569	339	k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Desulfuromonadales(100);f__Geobacteraceae(100);g__Geobacter(100);g__Geobacter_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter	g__Geobacter_unclassified
BacV5_Otu_000570	338	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__asaccharolytica
BacV5_Otu_000571	337	k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Alteromonadales(100);f__Alteromonadaceae(100);g__Cellvibrio(98);g__Cellvibrio_unclassified(98);	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Cellvibrio	g__Cellvibrio_unclassified
BacV5_Otu_000572	335	k__Bacteria(100);p__Gemmatimonadetes(94);c__Gemmatimonadetes(85);c__Gemmatimonadetes_unclassified(85);c__Gemmatimonadetes_unclassified(85);c__Gemmatimonadetes_unclassified(85);c__Gemmatimonadetes_unclassified(85);	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	c__Gemmatimonadetes_unclassified	c__Gemmatimonadetes_unclassified	c__Gemmatimonadetes_unclassified	c__Gemmatimonadetes_unclassified
BacV5_Otu_000573	335	k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Bdellovibrionales(100);f__Bdellovibrionaceae(100);g__Bdellovibrio(100);g__Bdellovibrio_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	g__Bdellovibrio_unclassified
BacV5_Otu_000574	334	k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Bdellovibrionales(100);f__Bacteriovoracaceae(100);f__Bacteriovoracaceae_unclassified(100);f__Bacteriovoracaceae_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bacteriovoracaceae	f__Bacteriovoracaceae_unclassified	f__Bacteriovoracaceae_unclassified
BacV5_Otu_000575	333	k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(100);f__Oxalobacteraceae_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	f__Oxalobacteraceae_unclassified	f__Oxalobacteraceae_unclassified
BacV5_Otu_000576	331	k__Bacteria(100);p__Chloroflexi(100);c__Chloroflexi(100);o__[Roseiflexales](100);f__[Kouleothrixaceae](100);f__[Kouleothrixaceae]_unclassified(100);f__[Kouleothrixaceae]_unclassified(100);	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__[Roseiflexales]	f__[Kouleothrixaceae]	f__[Kouleothrixaceae]_unclassified	f__[Kouleothrixaceae]_unclassified
BacV5_Otu_000577	329	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(100);g__Nocardioides_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	g__Nocardioides_unclassified
BacV5_Otu_000578	329	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);o__Actinomycetales_unclassified(81);o__Actinomycetales_unclassified(81);o__Actinomycetales_unclassified(81);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	o__Actinomycetales_unclassified	o__Actinomycetales_unclassified	o__Actinomycetales_unclassified
BacV5_Otu_000579	328	k__Bacteria(100);p__Chloroflexi(100);c__TK10(100);o__B07_WMSP1(100);f__FFCH4570(100);f__FFCH4570_unclassified(100);f__FFCH4570_unclassified(100);	k__Bacteria	p__Chloroflexi	c__TK10	o__B07_WMSP1	f__FFCH4570	f__FFCH4570_unclassified	f__FFCH4570_unclassified
BacV5_Otu_000580	327	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(92);o__Rhizobiales_unclassified(91);o__Rhizobiales_unclassified(91);o__Rhizobiales_unclassified(91);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified
BacV5_Otu_000581	327	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);o__Rhizobiales_unclassified(97);o__Rhizobiales_unclassified(97);o__Rhizobiales_unclassified(97);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified
BacV5_Otu_000582	326	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(100);g__Nocardioides_unclassified(81);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	g__Nocardioides_unclassified
BacV5_Otu_000583	326	k__Bacteria(100);p__Proteobacteria(100);p__Proteobacteria_unclassified(95);p__Proteobacteria_unclassified(95);p__Proteobacteria_unclassified(95);p__Proteobacteria_unclassified(95);p__Proteobacteria_unclassified(95);	k__Bacteria	p__Proteobacteria	p__Proteobacteria_unclassified	p__Proteobacteria_unclassified	p__Proteobacteria_unclassified	p__Proteobacteria_unclassified	p__Proteobacteria_unclassified
BacV5_Otu_000584	325	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Pseudonocardiaceae(99);g__Pseudonocardia(98);g__Pseudonocardia_unclassified(98);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	g__Pseudonocardia_unclassified
BacV5_Otu_000585	325	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Intrasporangiaceae(100);g__Terracoccus(100);g__Terracoccus_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Terracoccus	g__Terracoccus_unclassified
BacV5_Otu_000586	325	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardiaceae(100);g__Rhodococcus(100);g__Rhodococcus_unclassified(90);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	g__Rhodococcus_unclassified
BacV5_Otu_000587	321	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Rhodospirillaceae(100);g__Enhydrobacter(100);s__aerosaccus(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Enhydrobacter	s__aerosaccus
BacV5_Otu_000588	321	k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Myxococcales(100);f__Cystobacteraceae(89);g__Archangium(58);s__gephyra(58);	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Cystobacteraceae	g__Archangium	s__gephyra
BacV5_Otu_000589	321	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(100);s__plantarum(100);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__plantarum
BacV5_Otu_000592	319	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(97);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__asaccharolytica
BacV5_Otu_000593	318	k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__[Weeksellaceae](100);g__Chryseobacterium(94);g__Chryseobacterium_unclassified(94);	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Chryseobacterium	g__Chryseobacterium_unclassified
BacV5_Otu_000594	317	k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Xanthomonadales(100);f__Xanthomonadaceae(100);f__Xanthomonadaceae_unclassified(100);f__Xanthomonadaceae_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	f__Xanthomonadaceae_unclassified	f__Xanthomonadaceae_unclassified
BacV5_Otu_000595	315	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);o__Actinomycetales_unclassified(78);o__Actinomycetales_unclassified(78);o__Actinomycetales_unclassified(78);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	o__Actinomycetales_unclassified	o__Actinomycetales_unclassified	o__Actinomycetales_unclassified
BacV5_Otu_000596	313	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Rhodospirillaceae(100);g__Skermanella(100);g__Skermanella_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Skermanella	g__Skermanella_unclassified
BacV5_Otu_000597	312	k__Bacteria(100);p__Actinobacteria(100);c__Acidimicrobiia(100);o__Acidimicrobiales(100);o__Acidimicrobiales_unclassified(79);o__Acidimicrobiales_unclassified(79);o__Acidimicrobiales_unclassified(79);	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	o__Acidimicrobiales_unclassified	o__Acidimicrobiales_unclassified	o__Acidimicrobiales_unclassified
BacV5_Otu_000599	309	k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Pasteurellales(100);f__Pasteurellaceae(100);g__Haemophilus(97);s__parainfluenzae(97);	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	s__parainfluenzae
