BacV5_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
BacV5_Otu_001019	159	k__Bacteria(100);p__Proteobacteria(97);c__Gammaproteobacteria(97);o__Pseudomonadales(53);f__Pseudomonadaceae(53);f__Pseudomonadaceae_unclassified(53);f__Pseudomonadaceae_unclassified(53);	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	f__Pseudomonadaceae_unclassified	f__Pseudomonadaceae_unclassified
BacV5_Otu_001020	159	k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](100);f__Ellin515(100);f__Ellin515_unclassified(100);f__Ellin515_unclassified(100);	k__Bacteria	p__Verrucomicrobia	c__[Pedosphaerae]	o__[Pedosphaerales]	f__Ellin515	f__Ellin515_unclassified	f__Ellin515_unclassified
BacV5_Otu_001021	159	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(99);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__asaccharolytica
BacV5_Otu_001022	158	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodobacterales(100);f__Rhodobacteraceae(100);g__Amaricoccus(100);g__Amaricoccus_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Amaricoccus	g__Amaricoccus_unclassified
BacV5_Otu_001023	158	k__Bacteria(100);p__Acidobacteria(100);c__Solibacteres(100);o__Solibacterales(100);o__Solibacterales_unclassified(100);o__Solibacterales_unclassified(100);o__Solibacterales_unclassified(100);	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	o__Solibacterales_unclassified	o__Solibacterales_unclassified	o__Solibacterales_unclassified
BacV5_Otu_001024	158	k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Xanthomonadales(100);f__Xanthomonadaceae(100);g__Dokdonella(88);g__Dokdonella_unclassified(88);	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Dokdonella	g__Dokdonella_unclassified
BacV5_Otu_001025	157	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Frankiaceae(100);f__Frankiaceae_unclassified(89);f__Frankiaceae_unclassified(89);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae	f__Frankiaceae_unclassified	f__Frankiaceae_unclassified
BacV5_Otu_001026	157	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingobium(100);g__Sphingobium_unclassified(76);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	g__Sphingobium_unclassified
BacV5_Otu_001027	157	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(90);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__asaccharolytica
BacV5_Otu_001028	157	k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Bacillales(100);f__Paenibacillaceae(100);g__Cohnella(100);g__Cohnella_unclassified(100);	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Cohnella	g__Cohnella_unclassified
BacV5_Otu_001029	156	k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Gaiellales(100);f__Gaiellaceae(100);f__Gaiellaceae_unclassified(100);f__Gaiellaceae_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	f__Gaiellaceae_unclassified	f__Gaiellaceae_unclassified
BacV5_Otu_001030	156	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);g__Sphingomonas_unclassified(88);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	g__Sphingomonas_unclassified
BacV5_Otu_001031	156	k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(78);f__Oxalobacteraceae_unclassified(78);	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	f__Oxalobacteraceae_unclassified	f__Oxalobacteraceae_unclassified
BacV5_Otu_001032	156	k__Bacteria(100);p__Chloroflexi(100);c__TK10(100);o__B07_WMSP1(100);o__B07_WMSP1_unclassified(100);o__B07_WMSP1_unclassified(100);o__B07_WMSP1_unclassified(100);	k__Bacteria	p__Chloroflexi	c__TK10	o__B07_WMSP1	o__B07_WMSP1_unclassified	o__B07_WMSP1_unclassified	o__B07_WMSP1_unclassified
BacV5_Otu_001033	155	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);o__Rhizobiales_unclassified(52);o__Rhizobiales_unclassified(52);o__Rhizobiales_unclassified(52);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified
