Ftrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Ftrad_Otu_00281	548	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Cladosporiaceae(100);g__Cladosporium(100);s__Cladosporium_aphidis(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__Cladosporium_aphidis
Ftrad_Otu_00282	548	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Glomerellales(100);f__Plectosphaerellaceae(100);g__Gibellulopsis(100);s__Gibellulopsis_nigrescens(88);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Gibellulopsis	s__Gibellulopsis_nigrescens
Ftrad_Otu_00283	547	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Vishniacozyma(100);s__Vishniacozyma_globispora(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__Vishniacozyma_globispora
Ftrad_Otu_00284	545	k__Fungi(100);p__Basidiomycota(100);c__Malasseziomycetes(100);o__Malasseziales(100);f__Malasseziaceae(100);g__Malassezia(100);s__Malassezia_sp(90);	k__Fungi	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__Malassezia_sp
Ftrad_Otu_00285	544	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);s__Penicillium_olsonii(95);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_olsonii
Ftrad_Otu_00286	536	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Lasiosphaeriaceae(100);g__Schizothecium(100);s__Schizothecium_glutinans(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__Schizothecium_glutinans
Ftrad_Otu_00287	532	k__Fungi(100);p__Ascomycota(100);c__Orbiliomycetes(100);o__Orbiliales(100);f__Orbiliaceae(100);g__Dactylaria(100);s__Dactylaria_dimorphospora(100);	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Dactylaria	s__Dactylaria_dimorphospora
Ftrad_Otu_00288	529	k__Fungi(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00289	527	k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__unclassified_Cystobasidiomycetes(100);f__unclassified_Cystobasidiomycetes(100);g__unclassified_Cystobasidiomycetes(100);s__Cystobasidiomycetes_sp(100);	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__unclassified_Cystobasidiomycetes	f__unclassified_Cystobasidiomycetes	g__unclassified_Cystobasidiomycetes	s__Cystobasidiomycetes_sp
Ftrad_Otu_00290	520	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Diatrypaceae(100);f__Diatrypaceae_unclassified(99);f__Diatrypaceae_unclassified(99);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Diatrypaceae	f__Diatrypaceae_unclassified	f__Diatrypaceae_unclassified
Ftrad_Otu_00291	519	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(96);o__Helotiales(96);o__Helotiales_unclassified(96);o__Helotiales_unclassified(96);o__Helotiales_unclassified(96);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	o__Helotiales_unclassified	o__Helotiales_unclassified	o__Helotiales_unclassified
Ftrad_Otu_00292	510	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Phaeosphaeria(100);s__Phaeosphaeria_herpotrichoides(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeria	s__Phaeosphaeria_herpotrichoides
Ftrad_Otu_00293	505	k__Fungi(100);p__Ascomycota(100);c__Saccharomycetes(100);o__Saccharomycetales(100);f__Debaryomycetaceae(100);g__Schwanniomyces(100);g__Schwanniomyces_unclassified(100);	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Schwanniomyces	g__Schwanniomyces_unclassified
Ftrad_Otu_00294	504	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Thelebolales(100);f__Pseudeurotiaceae(100);g__Pseudeurotium(100);s__Pseudeurotium_ovale(99);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudeurotium	s__Pseudeurotium_ovale
Ftrad_Otu_00295	502	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	o__Helotiales_unclassified	o__Helotiales_unclassified	o__Helotiales_unclassified
Ftrad_Otu_00296	496	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Paraphoma(100);s__Paraphoma_radicina(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__Paraphoma_radicina
Ftrad_Otu_00297	493	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Filobasidium(100);g__Filobasidium_unclassified(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	g__Filobasidium_unclassified
Ftrad_Otu_00298	493	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00299	493	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Phaeosphaeriopsis(85);s__Phaeosphaeriopsis_sp(85);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeriopsis	s__Phaeosphaeriopsis_sp
Ftrad_Otu_00300	492	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00301	489	k__Fungi(100);p__Basidiomycota(100);c__Exobasidiomycetes(100);o__Entylomatales(100);f__Entylomataceae(100);g__Entyloma(100);g__Entyloma_unclassified(100);	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Entylomatales	f__Entylomataceae	g__Entyloma	g__Entyloma_unclassified
Ftrad_Otu_00302	488	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Mycosphaerellaceae(100);g__Cercospora(78);g__Cercospora_unclassified(78);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Cercospora	g__Cercospora_unclassified
Ftrad_Otu_00303	481	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Chaetomiaceae(100);g__unclassified_Chaetomiaceae(100);s__Chaetomiaceae_sp(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__unclassified_Chaetomiaceae	s__Chaetomiaceae_sp
Ftrad_Otu_00304	478	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Lycoperdaceae(100);g__Lycoperdon(100);s__Lycoperdon_pyriforme(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Lycoperdaceae	g__Lycoperdon	s__Lycoperdon_pyriforme
Ftrad_Otu_00305	475	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00306	472	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);c__Dothideomycetes_unclassified(95);c__Dothideomycetes_unclassified(95);c__Dothideomycetes_unclassified(95);c__Dothideomycetes_unclassified(95);	k__Fungi	p__Ascomycota	c__Dothideomycetes	c__Dothideomycetes_unclassified	c__Dothideomycetes_unclassified	c__Dothideomycetes_unclassified	c__Dothideomycetes_unclassified
Ftrad_Otu_00307	471	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Periconiaceae(100);g__Periconia(100);s__Periconia_byssoides(98);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	s__Periconia_byssoides
Ftrad_Otu_00308	470	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Dermateaceae(100);g__Helgardia(100);s__Helgardia_sp(100);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Helgardia	s__Helgardia_sp
Ftrad_Otu_00309	465	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Phaeosphaeria(100);g__Phaeosphaeria_unclassified(52);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeria	g__Phaeosphaeria_unclassified
Ftrad_Otu_00310	455	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Meruliaceae(100);g__Phlebia(100);s__Phlebia_radiata(95);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	g__Phlebia	s__Phlebia_radiata
Ftrad_Otu_00311	455	k__Fungi(100);p__Chytridiomycota(97);c__unclassified_Chytridiomycota(97);o__unclassified_Chytridiomycota(97);f__unclassified_Chytridiomycota(97);g__unclassified_Chytridiomycota(97);s__Chytridiomycota_sp(97);	k__Fungi	p__Chytridiomycota	c__unclassified_Chytridiomycota	o__unclassified_Chytridiomycota	f__unclassified_Chytridiomycota	g__unclassified_Chytridiomycota	s__Chytridiomycota_sp
Ftrad_Otu_00312	453	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Cyphellophoraceae(100);g__Cyphellophora(100);s__Cyphellophora_vermispora(100);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	s__Cyphellophora_vermispora
Ftrad_Otu_00313	442	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(97);g__Epicoccum(96);s__Epicoccum_nigrum(94);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Epicoccum	s__Epicoccum_nigrum
Ftrad_Otu_00314	439	k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__Erythrobasidiales(100);f__Erythrobasidiaceae(100);g__Erythrobasidium(100);g__Erythrobasidium_unclassified(99);	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiaceae	g__Erythrobasidium	g__Erythrobasidium_unclassified
Ftrad_Otu_00315	439	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);o__Sordariales_unclassified(100);o__Sordariales_unclassified(100);o__Sordariales_unclassified(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	o__Sordariales_unclassified	o__Sordariales_unclassified	o__Sordariales_unclassified
Ftrad_Otu_00316	437	k__Fungi(100);p__Basidiomycota(99);p__Basidiomycota_unclassified(99);p__Basidiomycota_unclassified(99);p__Basidiomycota_unclassified(99);p__Basidiomycota_unclassified(99);p__Basidiomycota_unclassified(99);	k__Fungi	p__Basidiomycota	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified
Ftrad_Otu_00317	437	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Teloschistales(100);f__Teloschistaceae(100);g__Xanthoria(100);s__Xanthoria_parietina(94);	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Teloschistales	f__Teloschistaceae	g__Xanthoria	s__Xanthoria_parietina
Ftrad_Otu_00319	432	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Typhulaceae(100);g__Typhula(100);s__Typhula_incarnata(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Typhulaceae	g__Typhula	s__Typhula_incarnata
Ftrad_Otu_00320	430	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);s__Penicillium_brasilianum(99);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_brasilianum
Ftrad_Otu_00321	430	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);f__Didymellaceae_unclassified(100);f__Didymellaceae_unclassified(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	f__Didymellaceae_unclassified	f__Didymellaceae_unclassified
Ftrad_Otu_00323	428	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Dissoconiaceae(100);g__Dissoconium(100);s__Dissoconium_sp(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Dissoconiaceae	g__Dissoconium	s__Dissoconium_sp
Ftrad_Otu_00325	427	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Leptospora(100);s__Leptospora_rubella(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Leptospora	s__Leptospora_rubella
Ftrad_Otu_00326	425	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Rutstroemiaceae(100);g__Rutstroemia(94);s__Rutstroemia_maritima(94);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Rutstroemiaceae	g__Rutstroemia	s__Rutstroemia_maritima
Ftrad_Otu_00327	423	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);	k__Fungi	p__Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
Ftrad_Otu_00328	422	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Filobasidium(100);s__Filobasidium_wieringae(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	s__Filobasidium_wieringae
Ftrad_Otu_00329	416	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	o__Chaetothyriales_unclassified	o__Chaetothyriales_unclassified	o__Chaetothyriales_unclassified
Ftrad_Otu_00330	412	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Psathyrellaceae(100);g__Coprinellus(100);s__Coprinellus_verrucispermus(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	s__Coprinellus_verrucispermus
Ftrad_Otu_00331	410	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);s__Penicillium_bialowiezense(93);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_bialowiezense
Ftrad_Otu_00332	407	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Diatrypaceae(100);f__Diatrypaceae_unclassified(86);f__Diatrypaceae_unclassified(86);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Diatrypaceae	f__Diatrypaceae_unclassified	f__Diatrypaceae_unclassified
Ftrad_Otu_00333	406	k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__Cystobasidiomycetes_ord_Incertae_sedis(100);f__Buckleyzymaceae(100);g__Buckleyzyma(100);s__Buckleyzyma_salicina(100);	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiomycetes_ord_Incertae_sedis	f__Buckleyzymaceae	g__Buckleyzyma	s__Buckleyzyma_salicina
Ftrad_Otu_00334	405	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Psathyrellaceae(100);g__Coprinellus(100);s__Coprinellus_hiascens(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	s__Coprinellus_hiascens
Ftrad_Otu_00335	398	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00336	396	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporaceae(100);g__Alternaria(100);s__Alternaria_hungarica(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__Alternaria_hungarica
Ftrad_Otu_00338	393	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00339	391	k__Fungi(100);p__Chytridiomycota(100);c__Chytridiomycetes(100);o__unclassified_Chytridiomycetes(100);f__unclassified_Chytridiomycetes(100);g__unclassified_Chytridiomycetes(100);s__Chytridiomycetes_sp(100);	k__Fungi	p__Chytridiomycota	c__Chytridiomycetes	o__unclassified_Chytridiomycetes	f__unclassified_Chytridiomycetes	g__unclassified_Chytridiomycetes	s__Chytridiomycetes_sp
Ftrad_Otu_00340	391	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);c__Dothideomycetes_unclassified(100);c__Dothideomycetes_unclassified(100);c__Dothideomycetes_unclassified(100);c__Dothideomycetes_unclassified(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	c__Dothideomycetes_unclassified	c__Dothideomycetes_unclassified	c__Dothideomycetes_unclassified	c__Dothideomycetes_unclassified
Ftrad_Otu_00342	390	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(68);c__Leotiomycetes_unclassified(68);c__Leotiomycetes_unclassified(68);c__Leotiomycetes_unclassified(68);c__Leotiomycetes_unclassified(68);	k__Fungi	p__Ascomycota	c__Leotiomycetes	c__Leotiomycetes_unclassified	c__Leotiomycetes_unclassified	c__Leotiomycetes_unclassified	c__Leotiomycetes_unclassified
Ftrad_Otu_00343	387	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Paraphoma(100);s__Paraphoma_chrysanthemicola(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__Paraphoma_chrysanthemicola
Ftrad_Otu_00344	385	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);g__Fusarium(100);g__Fusarium_unclassified(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	g__Fusarium_unclassified
Ftrad_Otu_00345	373	k__Fungi(73);k__Fungi_unclassified(73);k__Fungi_unclassified(73);k__Fungi_unclassified(73);k__Fungi_unclassified(73);k__Fungi_unclassified(73);k__Fungi_unclassified(73);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00346	372	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Thelebolales(100);f__Pseudeurotiaceae(100);g__Pseudeurotium(100);g__Pseudeurotium_unclassified(95);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudeurotium	g__Pseudeurotium_unclassified
Ftrad_Otu_00347	372	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Auriculariales(100);f__unclassified_Auriculariales(100);g__unclassified_Auriculariales(100);s__Auriculariales_sp(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__unclassified_Auriculariales	g__unclassified_Auriculariales	s__Auriculariales_sp
Ftrad_Otu_00348	371	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00349	370	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreaceae(100);g__Trichoderma(100);s__Trichoderma_paraviridescens(89);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__Trichoderma_paraviridescens
Ftrad_Otu_00350	369	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00351	368	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Mrakiaceae(94);g__Tausonia(94);s__Tausonia_pullulans(94);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Tausonia	s__Tausonia_pullulans
Ftrad_Otu_00352	367	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00353	363	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00354	360	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);g__Didymella(100);s__Didymella_vitalbina(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Didymella	s__Didymella_vitalbina
Ftrad_Otu_00355	359	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Lasiosphaeriaceae(100);g__Cladorrhinum(100);s__Cladorrhinum_bulbillosum(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Cladorrhinum	s__Cladorrhinum_bulbillosum
Ftrad_Otu_00356	358	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Leptosphaeriaceae(100);g__Leptosphaeria(100);g__Leptosphaeria_unclassified(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Leptosphaeria	g__Leptosphaeria_unclassified
Ftrad_Otu_00357	353	k__Fungi(100);p__Basidiomycota(100);c__Exobasidiomycetes(100);o__Entylomatales(100);f__Entylomataceae(100);g__Entyloma(100);g__Entyloma_unclassified(100);	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Entylomatales	f__Entylomataceae	g__Entyloma	g__Entyloma_unclassified
Ftrad_Otu_00360	349	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Cucurbitariaceae(100);g__Pyrenochaeta(100);g__Pyrenochaeta_unclassified(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaeta	g__Pyrenochaeta_unclassified
Ftrad_Otu_00361	347	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	o__Chaetothyriales_unclassified	o__Chaetothyriales_unclassified	o__Chaetothyriales_unclassified
Ftrad_Otu_00362	346	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);s__Penicillium_toxicarium(94);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_toxicarium
