Ftrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Ftrad_Otu_00964	64	k__Fungi(100);p__Ascomycota(100);c__Taphrinomycetes(100);o__Taphrinales(100);f__Taphrinaceae(100);g__unclassified_Taphrinaceae(86);s__Taphrinaceae_sp(86);	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Taphrinaceae	g__unclassified_Taphrinaceae	s__Taphrinaceae_sp
Ftrad_Otu_00965	64	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	o__Pleosporales_unclassified	o__Pleosporales_unclassified	o__Pleosporales_unclassified
Ftrad_Otu_00966	63	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(83);g__Bullera(83);s__Bullera_crocea(83);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00967	63	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Cordycipitaceae(100);g__Lecanicillium(100);g__Lecanicillium_unclassified(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Lecanicillium	g__Lecanicillium_unclassified
Ftrad_Otu_00968	63	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Cordycipitaceae(100);g__Lecanicillium(100);g__Lecanicillium_unclassified(86);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Lecanicillium	g__Lecanicillium_unclassified
Ftrad_Otu_00969	63	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_fam_Incertae_sedis(100);g__Acremonium(100);s__Acremonium_persicinum(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__Acremonium_persicinum
Ftrad_Otu_00970	63	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Strophariaceae(100);g__Hypholoma(100);s__Hypholoma_sublateritium(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Hypholoma	s__Hypholoma_sublateritium
Ftrad_Otu_00971	63	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(100);f__Lasiosphaeriaceae(100);f__Lasiosphaeriaceae_unclassified(97);f__Lasiosphaeriaceae_unclassified(97);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	f__Lasiosphaeriaceae_unclassified	f__Lasiosphaeriaceae_unclassified
Ftrad_Otu_00972	62	k__Fungi(100);p__Basidiomycota(84);p__Basidiomycota_unclassified(84);p__Basidiomycota_unclassified(84);p__Basidiomycota_unclassified(84);p__Basidiomycota_unclassified(84);p__Basidiomycota_unclassified(84);	k__Fungi	p__Basidiomycota	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified
Ftrad_Otu_00973	62	k__Fungi(100);p__Glomeromycota(100);c__Glomeromycetes(100);o__Diversisporales(100);f__Diversisporales_fam_Incertae_sedis(100);g__Entrophospora(100);s__Entrophospora_sp(100);	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Diversisporales	f__Diversisporales_fam_Incertae_sedis	g__Entrophospora	s__Entrophospora_sp
