Otrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Otrad_Otu_00261	107	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00262	107	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;o__Pleosporales_unclassified;o__Pleosporales_unclassified;o__Pleosporales_unclassified;	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	o__Pleosporales_unclassified	o__Pleosporales_unclassified	o__Pleosporales_unclassified
Otrad_Otu_00264	105	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_arabidopsidis;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_arabidopsidis
Otrad_Otu_00268	104	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00269	103	k__Stramenopila;p__Oomycota;c__Oomycetes;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified
Otrad_Otu_00270	103	k__Viridiplantae;p__Chlorophyta;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Klebsormidium;s__Klebsormidium_dissectum;	k__Viridiplantae	p__Chlorophyta	c__Incertae_sedis	o__Incertae_sedis	f__Incertae_sedis	g__Klebsormidium	s__Klebsormidium_dissectum
Otrad_Otu_00273	101	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00279	98	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium;g__Leucosporidium_unclassified;	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	g__Leucosporidium_unclassified
Otrad_Otu_00280	97	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00283	96	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Tetragoniomycetaceae;g__Cryptotrichosporon;s__Cryptotrichosporon_tibetense;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Tetragoniomycetaceae	g__Cryptotrichosporon	s__Cryptotrichosporon_tibetense
Otrad_Otu_00287	95	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__unclassified_Chlamydomonadales;g__unclassified_Chlamydomonadales;s__Chlamydomonadales_sp;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__unclassified_Chlamydomonadales	g__unclassified_Chlamydomonadales	s__Chlamydomonadales_sp
Otrad_Otu_00288	91	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Spongiococcum;s__Spongiococcum_tetrasporum;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlorococcaceae	g__Spongiococcum	s__Spongiococcum_tetrasporum
Otrad_Otu_00291	90	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo;s__Albugo_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Albuginales	f__Albuginaceae	g__Albugo	s__Albugo_sp
Otrad_Otu_00295	87	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;g__Hyaloperonospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	g__Hyaloperonospora_unclassified
Otrad_Otu_00296	87	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00301	83	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00306	80	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00308	79	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Kondoa;g__Kondoa_unclassified;	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Kondoaceae	g__Kondoa	g__Kondoa_unclassified
Otrad_Otu_00315	74	k__Stramenopila;p__Oomycota;c__Oomycetes;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified
Otrad_Otu_00316	74	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;g__Hyaloperonospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	g__Hyaloperonospora_unclassified
Otrad_Otu_00323	72	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00324	72	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00326	71	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales;f__Ustilentylomataceae;g__Ustilentyloma;s__Ustilentyloma_graminis;	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Ustilentylomataceae	g__Ustilentyloma	s__Ustilentyloma_graminis
Otrad_Otu_00328	71	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__Entylomatales_fam_Incertae_sedis;g__Tilletiopsis;s__Tilletiopsis_washingtonensis;	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Entylomatales	f__Entylomatales_fam_Incertae_sedis	g__Tilletiopsis	s__Tilletiopsis_washingtonensis
