Node1,Node2,binarycorrelation,Correlation
nov_Ftrad_Otu_00031,dec_Ftrad_Otu_00031,linkeredge,no_info
nov_Ftrad_Otu_00032,dec_Ftrad_Otu_00032,linkeredge,no_info
nov_Ftrad_Otu_00036,dec_Ftrad_Otu_00036,linkeredge,no_info
nov_Ftrad_Otu_00062,dec_Ftrad_Otu_00062,linkeredge,no_info
nov_Ftrad_Otu_00095,dec_Ftrad_Otu_00095,linkeredge,no_info
nov_Ftrad_Otu_00105,dec_Ftrad_Otu_00105,linkeredge,no_info
nov_Ftrad_Otu_00126,dec_Ftrad_Otu_00126,linkeredge,no_info
nov_Otrad_Otu_00002,dec_Otrad_Otu_00002,linkeredge,no_info
nov_BacV5_Otu_000055,dec_BacV5_Otu_000055,linkeredge,no_info
nov_Ftrad_Otu_00156,dec_Ftrad_Otu_00156,linkeredge,no_info
nov_BacV5_Otu_000048,dec_BacV5_Otu_000048,linkeredge,no_info
nov_BacV5_Otu_000387,dec_BacV5_Otu_000387,linkeredge,no_info
nov_Ftrad_Otu_00067,dec_Ftrad_Otu_00067,linkeredge,no_info
nov_BacV5_Otu_000149,dec_BacV5_Otu_000149,linkeredge,no_info
nov_BacV5_Otu_000163,dec_BacV5_Otu_000163,linkeredge,no_info
nov_BacV5_Otu_000041,dec_BacV5_Otu_000041,linkeredge,no_info
nov_BacV5_Otu_000059,dec_BacV5_Otu_000059,linkeredge,no_info
nov_BacV5_Otu_000197,dec_BacV5_Otu_000197,linkeredge,no_info
nov_Ftrad_Otu_00052,dec_Ftrad_Otu_00052,linkeredge,no_info
nov_BacV5_Otu_000013,dec_BacV5_Otu_000013,linkeredge,no_info
nov_BacV5_Otu_000141,dec_BacV5_Otu_000141,linkeredge,no_info
nov_BacV5_Otu_000166,dec_BacV5_Otu_000166,linkeredge,no_info
nov_BacV5_Otu_000143,dec_BacV5_Otu_000143,linkeredge,no_info
nov_Otrad_Otu_00010,dec_Otrad_Otu_00010,linkeredge,no_info
nov_BacV5_Otu_000057,dec_BacV5_Otu_000057,linkeredge,no_info
nov_BacV5_Otu_000061,dec_BacV5_Otu_000061,linkeredge,no_info
nov_Ftrad_Otu_00107,dec_Ftrad_Otu_00107,linkeredge,no_info
nov_BacV5_Otu_000030,dec_BacV5_Otu_000030,linkeredge,no_info
nov_BacV5_Otu_000103,dec_BacV5_Otu_000103,linkeredge,no_info
nov_BacV5_Otu_000180,dec_BacV5_Otu_000180,linkeredge,no_info
nov_BacV5_Otu_000195,dec_BacV5_Otu_000195,linkeredge,no_info
nov_BacV5_Otu_000208,dec_BacV5_Otu_000208,linkeredge,no_info
nov_BacV5_Otu_000151,dec_BacV5_Otu_000151,linkeredge,no_info
nov_Ftrad_Otu_00076,dec_Ftrad_Otu_00076,linkeredge,no_info
nov_Otrad_Otu_00008,dec_Otrad_Otu_00008,linkeredge,no_info
nov_BacV5_Otu_000096,dec_BacV5_Otu_000096,linkeredge,no_info
nov_BacV5_Otu_000145,dec_BacV5_Otu_000145,linkeredge,no_info
nov_BacV5_Otu_000169,dec_BacV5_Otu_000169,linkeredge,no_info
nov_BacV5_Otu_000183,dec_BacV5_Otu_000183,linkeredge,no_info
nov_Ftrad_Otu_00047,dec_Ftrad_Otu_00047,linkeredge,no_info
nov_Ftrad_Otu_00180,dec_Ftrad_Otu_00180,linkeredge,no_info
nov_BacV5_Otu_000272,dec_BacV5_Otu_000272,linkeredge,no_info
nov_BacV5_Otu_000171,dec_BacV5_Otu_000171,linkeredge,no_info
nov_BacV5_Otu_000034,dec_BacV5_Otu_000034,linkeredge,no_info
nov_BacV5_Otu_000204,dec_BacV5_Otu_000204,linkeredge,no_info
nov_Ftrad_Otu_00197,dec_Ftrad_Otu_00197,linkeredge,no_info
nov_BacV5_Otu_000092,dec_BacV5_Otu_000092,linkeredge,no_info
nov_BacV5_Otu_000102,dec_BacV5_Otu_000102,linkeredge,no_info
nov_BacV5_Otu_000104,dec_BacV5_Otu_000104,linkeredge,no_info
nov_BacV5_Otu_000115,dec_BacV5_Otu_000115,linkeredge,no_info
nov_BacV5_Otu_000090,dec_BacV5_Otu_000090,linkeredge,no_info
nov_BacV5_Otu_000138,dec_BacV5_Otu_000138,linkeredge,no_info
nov_BacV5_Otu_000052,dec_BacV5_Otu_000052,linkeredge,no_info
nov_BacV5_Otu_000190,dec_BacV5_Otu_000190,linkeredge,no_info
nov_BacV5_Otu_000065,dec_BacV5_Otu_000065,linkeredge,no_info
nov_BacV5_Otu_000238,dec_BacV5_Otu_000238,linkeredge,no_info
nov_BacV5_Otu_000249,dec_BacV5_Otu_000249,linkeredge,no_info
nov_BacV5_Otu_000155,dec_BacV5_Otu_000155,linkeredge,no_info
nov_BacV5_Otu_000113,dec_BacV5_Otu_000113,linkeredge,no_info
nov_BacV5_Otu_000119,dec_BacV5_Otu_000119,linkeredge,no_info
nov_BacV5_Otu_000123,dec_BacV5_Otu_000123,linkeredge,no_info
nov_BacV5_Otu_000150,dec_BacV5_Otu_000150,linkeredge,no_info
nov_BacV5_Otu_000164,dec_BacV5_Otu_000164,linkeredge,no_info
nov_BacV5_Otu_000168,dec_BacV5_Otu_000168,linkeredge,no_info
nov_BacV5_Otu_000068,dec_BacV5_Otu_000068,linkeredge,no_info
nov_BacV5_Otu_000100,dec_BacV5_Otu_000100,linkeredge,no_info
nov_BacV5_Otu_000207,dec_BacV5_Otu_000207,linkeredge,no_info
nov_BacV5_Otu_000106,dec_BacV5_Otu_000106,linkeredge,no_info
nov_Ftrad_Otu_00128,dec_Ftrad_Otu_00128,linkeredge,no_info
nov_BacV5_Otu_000084,dec_BacV5_Otu_000084,linkeredge,no_info
nov_BacV5_Otu_000136,dec_BacV5_Otu_000136,linkeredge,no_info
nov_BacV5_Otu_000093,dec_BacV5_Otu_000093,linkeredge,no_info
nov_BacV5_Otu_000216,dec_BacV5_Otu_000216,linkeredge,no_info
nov_BacV5_Otu_000095,dec_BacV5_Otu_000095,linkeredge,no_info
nov_BacV5_Otu_000177,dec_BacV5_Otu_000177,linkeredge,no_info
nov_Ftrad_Otu_00176,dec_Ftrad_Otu_00176,linkeredge,no_info
nov_Ftrad_Otu_00265,dec_Ftrad_Otu_00265,linkeredge,no_info
nov_BacV5_Otu_000219,dec_BacV5_Otu_000219,linkeredge,no_info
nov_BacV5_Otu_000142,dec_BacV5_Otu_000142,linkeredge,no_info
nov_Ftrad_Otu_00061,dec_Ftrad_Otu_00061,linkeredge,no_info
nov_Otrad_Otu_00005,dec_Otrad_Otu_00005,linkeredge,no_info
nov_BacV5_Otu_000131,dec_BacV5_Otu_000131,linkeredge,no_info
nov_BacV5_Otu_000267,dec_BacV5_Otu_000267,linkeredge,no_info
nov_Ftrad_Otu_00057,dec_Ftrad_Otu_00057,linkeredge,no_info
nov_Ftrad_Otu_00035,dec_Ftrad_Otu_00035,linkeredge,no_info
nov_Ftrad_Otu_00109,dec_Ftrad_Otu_00109,linkeredge,no_info
nov_Ftrad_Otu_00135,dec_Ftrad_Otu_00135,linkeredge,no_info
nov_Ftrad_Otu_00017,dec_Ftrad_Otu_00017,linkeredge,no_info
nov_Ftrad_Otu_00130,dec_Ftrad_Otu_00130,linkeredge,no_info
nov_Ftrad_Otu_00044,dec_Ftrad_Otu_00044,linkeredge,no_info
nov_Ftrad_Otu_00023,dec_Ftrad_Otu_00023,linkeredge,no_info
nov_Ftrad_Otu_00056,dec_Ftrad_Otu_00056,linkeredge,no_info
nov_Ftrad_Otu_00021,dec_Ftrad_Otu_00021,linkeredge,no_info
nov_Ftrad_Otu_00165,dec_Ftrad_Otu_00165,linkeredge,no_info
nov_Ftrad_Otu_00112,dec_Ftrad_Otu_00112,linkeredge,no_info
nov_Ftrad_Otu_00163,dec_Ftrad_Otu_00163,linkeredge,no_info
nov_Ftrad_Otu_00015,dec_Ftrad_Otu_00015,linkeredge,no_info
nov_Ftrad_Otu_00092,dec_Ftrad_Otu_00092,linkeredge,no_info
nov_Ftrad_Otu_00014,dec_Ftrad_Otu_00014,linkeredge,no_info
nov_Ftrad_Otu_00262,dec_Ftrad_Otu_00262,linkeredge,no_info
nov_Ftrad_Otu_00280,dec_Ftrad_Otu_00280,linkeredge,no_info
nov_Ftrad_Otu_00033,dec_Ftrad_Otu_00033,linkeredge,no_info
nov_Ftrad_Otu_00060,dec_Ftrad_Otu_00060,linkeredge,no_info
nov_Ftrad_Otu_00164,dec_Ftrad_Otu_00164,linkeredge,no_info
nov_Ftrad_Otu_00038,dec_Ftrad_Otu_00038,linkeredge,no_info
nov_Ftrad_Otu_00045,dec_Ftrad_Otu_00045,linkeredge,no_info
nov_Ftrad_Otu_00058,dec_Ftrad_Otu_00058,linkeredge,no_info
nov_Ftrad_Otu_00111,dec_Ftrad_Otu_00111,linkeredge,no_info
nov_Ftrad_Otu_00089,dec_Ftrad_Otu_00089,linkeredge,no_info
nov_Ftrad_Otu_00185,dec_Ftrad_Otu_00185,linkeredge,no_info
nov_Ftrad_Otu_00166,dec_Ftrad_Otu_00166,linkeredge,no_info
nov_Ftrad_Otu_00114,dec_Ftrad_Otu_00114,linkeredge,no_info
nov_Otrad_Otu_00011,dec_Otrad_Otu_00011,linkeredge,no_info
nov_BacV5_Otu_000003,nov_BacV5_Otu_000002,Positive,0.557889817476
nov_BacV5_Otu_000005,nov_BacV5_Otu_000002,Positive,0.752970132489
nov_BacV5_Otu_000005,nov_BacV5_Otu_000003,Positive,0.705291848238
nov_BacV5_Otu_000007,nov_BacV5_Otu_000002,Positive,0.843618435532
nov_BacV5_Otu_000007,nov_BacV5_Otu_000003,Positive,0.708307406594
nov_BacV5_Otu_000007,nov_BacV5_Otu_000005,Positive,0.845610877965
nov_BacV5_Otu_000008,nov_BacV5_Otu_000004,Positive,0.735915184838
nov_BacV5_Otu_000010,nov_BacV5_Otu_000002,Positive,0.741245690826
nov_BacV5_Otu_000010,nov_BacV5_Otu_000003,Positive,0.675335528714
nov_BacV5_Otu_000010,nov_BacV5_Otu_000005,Positive,0.735501386381
nov_BacV5_Otu_000010,nov_BacV5_Otu_000007,Positive,0.780109498001
nov_BacV5_Otu_000011,nov_BacV5_Otu_000004,Positive,0.789760911587
nov_BacV5_Otu_000011,nov_BacV5_Otu_000006,Positive,0.562620234777
nov_BacV5_Otu_000011,nov_BacV5_Otu_000008,Positive,0.748679951623
nov_BacV5_Otu_000011,nov_BacV5_Otu_000009,Positive,0.59804003404
nov_BacV5_Otu_000012,nov_BacV5_Otu_000006,Positive,0.800771822564
nov_BacV5_Otu_000012,nov_BacV5_Otu_000008,Positive,0.554063491479
nov_BacV5_Otu_000012,nov_BacV5_Otu_000009,Positive,0.764905716162
nov_BacV5_Otu_000012,nov_BacV5_Otu_000011,Positive,0.709051538611
nov_BacV5_Otu_000014,nov_BacV5_Otu_000002,Positive,0.774102909748
nov_BacV5_Otu_000014,nov_BacV5_Otu_000003,Positive,0.51006090122
nov_BacV5_Otu_000014,nov_BacV5_Otu_000005,Positive,0.755165018853
nov_BacV5_Otu_000014,nov_BacV5_Otu_000007,Positive,0.826362857664
nov_BacV5_Otu_000014,nov_BacV5_Otu_000010,Positive,0.608180413771
nov_BacV5_Otu_000015,nov_BacV5_Otu_000002,Positive,0.572307041781
nov_BacV5_Otu_000015,nov_BacV5_Otu_000003,Positive,0.766126848925
nov_BacV5_Otu_000015,nov_BacV5_Otu_000005,Positive,0.560242374344
nov_BacV5_Otu_000015,nov_BacV5_Otu_000007,Positive,0.625588614572
nov_BacV5_Otu_000015,nov_BacV5_Otu_000010,Positive,0.668427650247
nov_BacV5_Otu_000015,nov_BacV5_Otu_000014,Positive,0.518209668181
nov_BacV5_Otu_000016,nov_BacV5_Otu_000002,Positive,0.567321398946
nov_BacV5_Otu_000016,nov_BacV5_Otu_000003,Positive,0.71556302641
nov_BacV5_Otu_000016,nov_BacV5_Otu_000005,Positive,0.689285634771
nov_BacV5_Otu_000016,nov_BacV5_Otu_000007,Positive,0.69302341644
nov_BacV5_Otu_000016,nov_BacV5_Otu_000010,Positive,0.557612942189
nov_BacV5_Otu_000016,nov_BacV5_Otu_000014,Positive,0.615169128668
nov_BacV5_Otu_000016,nov_BacV5_Otu_000015,Positive,0.563437175104
nov_BacV5_Otu_000025,nov_BacV5_Otu_000002,Positive,0.765899384565
nov_BacV5_Otu_000025,nov_BacV5_Otu_000003,Positive,0.694381616566
