"Flowcell"	"Run"	"Replicate"	"Ecotype"	"Year"	"mon"	"Day"	"Experiment"	"Month"	"Combi"	"label"
5	"E"	"S176"	"S"	2017	2	15	3	"Feb"	"Feb3S"	0.03
5	"E"	"S177"	"S"	2017	2	15	3	"Feb"	"Feb3S"	0.03
5	"E"	"S178"	"S"	2017	2	15	3	"Feb"	"Feb3S"	0.03
5	"E"	"S179"	"W"	2015	3	4	1	"Mar"	"Mar1W"	0.03
5	"E"	"S180"	"W"	2017	3	16	3	"Mar"	"Mar3W"	0.03
5	"E"	"S181"	"W"	2017	3	16	3	"Mar"	"Mar3W"	0.03
5	"E"	"S164"	"W"	2017	2	15	3	"Feb"	"Feb3W"	0.03
5	"E"	"S182"	"W"	2017	3	16	3	"Mar"	"Mar3W"	0.03
5	"E"	"S183"	"C"	2017	3	16	3	"Mar"	"Mar3C"	0.03
5	"E"	"S184"	"C"	2017	3	16	3	"Mar"	"Mar3C"	0.03
5	"E"	"S185"	"C"	2017	3	16	3	"Mar"	"Mar3C"	0.03
5	"E"	"S186"	"C"	2017	3	16	3	"Mar"	"Mar3C"	0.03
5	"E"	"S187"	"K"	2017	3	16	3	"Mar"	"Mar3K"	0.03
5	"E"	"S188"	"K"	2017	3	16	3	"Mar"	"Mar3K"	0.03
5	"E"	"S189"	"K"	2017	3	16	3	"Mar"	"Mar3K"	0.03
5	"E"	"S190"	"K"	2017	3	16	3	"Mar"	"Mar3K"	0.03
5	"E"	"S191"	"S"	2017	3	16	3	"Mar"	"Mar3S"	0.03
5	"E"	"S165"	"W"	2017	2	15	3	"Feb"	"Feb3W"	0.03
5	"E"	"S192"	"S"	2017	3	16	3	"Mar"	"Mar3S"	0.03
5	"E"	"S193"	"S"	2017	3	16	3	"Mar"	"Mar3S"	0.03
5	"E"	"S194"	"S"	2017	3	16	3	"Mar"	"Mar3S"	0.03
5	"E"	"S195"	"W"	2016	12	14	3	"Dec"	"Dec3W"	0.03
5	"E"	"S196"	"W"	2016	12	14	3	"Dec"	"Dec3W"	0.03
5	"E"	"S197"	"W"	2016	12	14	3	"Dec"	"Dec3W"	0.03
5	"E"	"S198"	"W"	2016	12	14	3	"Dec"	"Dec3W"	0.03
5	"E"	"S199"	"C"	2016	12	14	3	"Dec"	"Dec3C"	0.03
5	"E"	"S201"	"C"	2016	12	14	3	"Dec"	"Dec3C"	0.03
5	"E"	"S166"	"W"	2017	2	15	3	"Feb"	"Feb3W"	0.03
5	"E"	"S203"	"K"	2016	12	14	3	"Dec"	"Dec3K"	0.03
5	"E"	"S204"	"K"	2016	12	14	3	"Dec"	"Dec3K"	0.03
5	"E"	"S205"	"K"	2016	12	14	3	"Dec"	"Dec3K"	0.03
5	"E"	"S206"	"K"	2016	12	14	3	"Dec"	"Dec3K"	0.03
5	"E"	"S207"	"S"	2016	12	14	3	"Dec"	"Dec3S"	0.03
5	"E"	"S208"	"S"	2016	12	14	3	"Dec"	"Dec3S"	0.03
5	"E"	"S209"	"S"	2016	12	14	3	"Dec"	"Dec3S"	0.03
5	"E"	"S210"	"S"	2016	12	14	3	"Dec"	"Dec3S"	0.03
5	"E"	"S167"	"C"	2017	2	15	3	"Feb"	"Feb3C"	0.03
5	"E"	"S168"	"C"	2017	2	15	3	"Feb"	"Feb3C"	0.03
5	"E"	"S169"	"C"	2017	2	15	3	"Feb"	"Feb3C"	0.03
5	"E"	"S170"	"C"	2017	2	15	3	"Feb"	"Feb3C"	0.03
5	"E"	"S171"	"K"	2017	2	15	3	"Feb"	"Feb3K"	0.03
6	"F"	"S211"	"W"	2016	11	15	3	"Nov"	"Nov3W"	0.03
6	"F"	"S220"	"K"	2016	11	15	3	"Nov"	"Nov3K"	0.03
6	"F"	"S221"	"K"	2016	11	15	3	"Nov"	"Nov3K"	0.03
6	"F"	"S223"	"S"	2015	11	18	2	"Nov"	"Nov2S"	0.03
6	"F"	"S224"	"S"	2016	11	15	3	"Nov"	"Nov3S"	0.03
6	"F"	"S225"	"S"	2016	11	15	3	"Nov"	"Nov3S"	0.03
6	"F"	"S226"	"S"	2016	11	15	3	"Nov"	"Nov3S"	0.03
6	"F"	"S227"	"W"	2015	1	15	1	"Jan"	"Jan1W"	0.03
6	"F"	"S228"	"W"	2017	1	15	3	"Jan"	"Jan3W"	0.03
6	"F"	"S229"	"W"	2017	1	15	3	"Jan"	"Jan3W"	0.03
