"SUID","0.001_ 11_corsparcc.txt_present","0.001_ 12_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"143723","true","true","0.4595588235294118","62.50000000000001","136","Ftrad_Otu_00149","false","Ftrad_Otu_00149"
"143724","true","true","0.47933884297520657","57.99999999999999","121","Ftrad_Otu_00151","false","Ftrad_Otu_00151"
"143725","true","true","0.4772727272727272","52.49999999999999","110","Ftrad_Otu_00210","false","Ftrad_Otu_00210"
"143726","true","false","0.5000000000000001","64.00000000000001","128","Ftrad_Otu_00235","false","Ftrad_Otu_00235"
"143727","true","true","0.49404761904761907","41.5","84","Ftrad_Otu_00258","false","Ftrad_Otu_00258"
"143728","true","false","0.5","45.5","91","Ftrad_Otu_00448","false","Ftrad_Otu_00448"
"143729","true","false","0.5","35.0","70","Otrad_Otu_00004","false","Otrad_Otu_00004"
"143730","true","true","0.4649122807017544","106.0","228","BacV5_Otu_000006","false","BacV5_Otu_000006"
"143731","true","true","0.4407894736842105","67.0","152","BacV5_Otu_000009","false","BacV5_Otu_000009"
"143732","true","true","0.4750000000000001","38.00000000000001","80","BacV5_Otu_000039","false","BacV5_Otu_000039"
"143733","true","true","0.4761904761904763","40.00000000000001","84","BacV5_Otu_000050","false","BacV5_Otu_000050"
"143734","true","true","0.487012987012987","75.0","154","BacV5_Otu_000064","false","BacV5_Otu_000064"
"143735","true","true","0.4372093023255814","94.0","215","BacV5_Otu_000071","false","BacV5_Otu_000071"
"143736","true","true","0.471631205673759","66.50000000000001","141","BacV5_Otu_000073","false","BacV5_Otu_000073"
"143737","true","true","0.44680851063829785","63.0","141","BacV5_Otu_000089","false","BacV5_Otu_000089"
"143738","true","true","0.4796747967479675","59.0","123","BacV5_Otu_000098","false","BacV5_Otu_000098"
"143739","true","true","0.45871559633027525","50.0","109","BacV5_Otu_000117","false","BacV5_Otu_000117"
"143740","true","true","0.4746376811594203","65.5","138","BacV5_Otu_000161","false","BacV5_Otu_000161"
"143741","true","true","0.4664429530201341","69.49999999999999","149","BacV5_Otu_000199","false","BacV5_Otu_000199"
"143742","true","true","0.46929824561403516","53.50000000000001","114","BacV5_Otu_000211","false","BacV5_Otu_000211"
