"SUID","0.001_ 12_corsparcc.txt(1)_present","0.001_ 1_corsparcc.txt_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"103642","true","false","0.5000000000000001","4.000000000000001","8","BacV5_Otu_000341","false","BacV5_Otu_000341"
"103643","true","false","0.5","0.5","1","BacV5_Otu_000133","false","BacV5_Otu_000133"
"103644","true","false","0.49999999999999994","1.4999999999999998","3","BacV5_Otu_000294","false","BacV5_Otu_000294"
"103645","true","true","0.4999999999999999","8.999999999999998","18","Ftrad_Otu_00095","false","Ftrad_Otu_00095"
"103646","true","false","0.5","4.5","9","Ftrad_Otu_00288","false","Ftrad_Otu_00288"
"103647","true","false","0.5","2.0","4","BacV5_Otu_000146","false","BacV5_Otu_000146"
"103648","true","false","0.5","0.5","1","BacV5_Otu_000148","false","BacV5_Otu_000148"
"103649","true","true","0.49576271186440685","58.50000000000001","118","BacV5_Otu_000153","false","BacV5_Otu_000153"
"103650","true","true","0.48979591836734687","23.999999999999996","49","BacV5_Otu_000163","false","BacV5_Otu_000163"
"103651","true","true","0.4945054945054945","45.0","91","BacV5_Otu_000212","false","BacV5_Otu_000212"
"103652","true","true","0.5","10.5","21","Ftrad_Otu_00159","false","Ftrad_Otu_00159"
"103653","true","false","0.5","2.0","4","Ftrad_Otu_00331","false","Ftrad_Otu_00331"
"103654","true","false","0.5","0.5","1","BacV5_Otu_000279","false","BacV5_Otu_000279"
"103655","true","true","0.5000000000000001","25.500000000000004","51","Ftrad_Otu_00163","false","Ftrad_Otu_00163"
"103656","true","false","0.49999999999999994","2.9999999999999996","6","Ftrad_Otu_00383","false","Ftrad_Otu_00383"
"103657","true","true","0.4836065573770491","29.499999999999996","61","Otrad_Otu_00024","false","Otrad_Otu_00024"
"103658","true","false","0.5","2.0","4","BacV5_Otu_000329","false","BacV5_Otu_000329"
"103659","true","false","0.5","0.5","1","Ftrad_Otu_00068","false","Ftrad_Otu_00068"
"103660","true","true","0.46026490066225156","69.49999999999999","151","Ftrad_Otu_00018","false","Ftrad_Otu_00018"
"103661","true","false","0.5","2.0","4","Ftrad_Otu_00457","false","Ftrad_Otu_00457"
"103662","true","false","0.5","2.0","4","Ftrad_Otu_00471","false","Ftrad_Otu_00471"
"103663","true","false","0.5000000000000001","1.0000000000000002","2","BacV5_Otu_000339","false","BacV5_Otu_000339"
