"SUID","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","0.001_ 3_corsparcc.txt(1)_Cor","0.001_ 3_corsparcc.txt(1)_name","0.001_ 3_corsparcc.txt(1)_present","0.001_ 3_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"45650","0.448029300246","Ftrad_Otu_00131 (interacts with) Ftrad_Otu_00012","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00131 (interacts with) Ftrad_Otu_00012","false","interacts with","Ftrad_Otu_00131 (interacts with) Ftrad_Otu_00012"
"45651","0.453028387197","Ftrad_Otu_00131 (interacts with) Ftrad_Otu_00004","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00131 (interacts with) Ftrad_Otu_00004","false","interacts with","Ftrad_Otu_00131 (interacts with) Ftrad_Otu_00004"
"45652","0.369284746862","Ftrad_Otu_00131 (interacts with) BacV5_Otu_000110","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00131 (interacts with) BacV5_Otu_000110","false","interacts with","Ftrad_Otu_00131 (interacts with) BacV5_Otu_000110"
"45653","0.529678865184","Ftrad_Otu_00070 (interacts with) Ftrad_Otu_00009","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00070 (interacts with) Ftrad_Otu_00009","false","interacts with","Ftrad_Otu_00070 (interacts with) Ftrad_Otu_00009"
"45654","-0.384104582933","Ftrad_Otu_00070 (interacts with) BacV5_Otu_000107","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00070 (interacts with) BacV5_Otu_000107","false","interacts with","Ftrad_Otu_00070 (interacts with) BacV5_Otu_000107"
"45655","0.426085226777","Ftrad_Otu_00165 (interacts with) Ftrad_Otu_00055","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00165 (interacts with) Ftrad_Otu_00055","false","interacts with","Ftrad_Otu_00165 (interacts with) Ftrad_Otu_00055"
"45656","0.379744492297","Ftrad_Otu_00165 (interacts with) Ftrad_Otu_00031","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00165 (interacts with) Ftrad_Otu_00031","false","interacts with","Ftrad_Otu_00165 (interacts with) Ftrad_Otu_00031"
"45657","0.367852458785","Ftrad_Otu_00165 (interacts with) BacV5_Otu_000104","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00165 (interacts with) BacV5_Otu_000104","false","interacts with","Ftrad_Otu_00165 (interacts with) BacV5_Otu_000104"
"45658","-0.436797487299","Ftrad_Otu_00075 (interacts with) Ftrad_Otu_00019","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00075 (interacts with) Ftrad_Otu_00019","false","interacts with","Ftrad_Otu_00075 (interacts with) Ftrad_Otu_00019"
"45659","0.388712059489","Ftrad_Otu_00075 (interacts with) BacV5_Otu_000259","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00075 (interacts with) BacV5_Otu_000259","false","interacts with","Ftrad_Otu_00075 (interacts with) BacV5_Otu_000259"
