"SUID","0.001_ 1_corsparcc.txt_Cor","0.001_ 1_corsparcc.txt_name","0.001_ 1_corsparcc.txt_present","0.001_ 1_corsparcc.txt_Pvalue","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"51970",,,"false",,"-0.316713488868","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00091","true","0.001","0.5","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00091","false","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00091"
"51971",,,"false",,"0.39250810305","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00124","true","0.001","0.5","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00124","false","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00124"
"51972",,,"false",,"0.452768173546","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00252","true","0.0","0.5","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00252","false","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00252"
"51973",,,"false",,"-0.427818238374","BacV5_Otu_000266 (interacts with) BacV5_Otu_000013","true","0.0","0.5","interacts with","BacV5_Otu_000266 (interacts with) BacV5_Otu_000013","false","interacts with","BacV5_Otu_000266 (interacts with) BacV5_Otu_000013"
"51974",,,"false",,"0.424308401084","BacV5_Otu_000266 (interacts with) BacV5_Otu_000048","true","0.001","0.5","interacts with","BacV5_Otu_000266 (interacts with) BacV5_Otu_000048","false","interacts with","BacV5_Otu_000266 (interacts with) BacV5_Otu_000048"
"51975",,,"false",,"0.4117124454","BacV5_Otu_000266 (interacts with) BacV5_Otu_000065","true","0.001","0.5","interacts with","BacV5_Otu_000266 (interacts with) BacV5_Otu_000065","false","interacts with","BacV5_Otu_000266 (interacts with) BacV5_Otu_000065"
"51976",,,"false",,"-0.496251643405","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000012","true","0.0","0.5","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000012","false","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000012"
"51977",,,"false",,"0.464369860115","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000086","true","0.0","0.5","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000086","false","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000086"
"51978",,,"false",,"-0.50315047975","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000089","true","0.0","0.5","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000089","false","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000089"
"51979",,,"false",,"0.400389167193","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000175","true","0.001","0.5","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000175","false","interacts with","Ftrad_Otu_00025 (interacts with) BacV5_Otu_000175"
"51980",,,"false",,"0.382412879299","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000009","true","0.001","0.5","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000009","false","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000009"
